entity,state,type,affected,date,incident,location,business_associate
"University of California, San Francisco",CA,Healthcare Provider,676,4/26/23,Hacking/IT Incident,Email,No
"CounSol, LLC",FL,Business Associate,4277,4/25/23,Unauthorized Access/Disclosure,Network Server,Yes
Lake County Health Department and Community Health Center,IL,Healthcare Provider,17000,4/25/23,Hacking/IT Incident,Email,No
Mars Area School District �,PA,Health Plan,1270,4/24/23,Hacking/IT Incident,Network Server,No
Robeson Health Care Corporation,NC,Healthcare Provider,15045,4/21/23,Hacking/IT Incident,Network Server,No
"Brightline, Inc.",CA,Business Associate,180694,4/20/23,Hacking/IT Incident,"Network Server, Other",Yes
Upper Peninsula Health Plan�,MI,Health Plan,833,4/20/23,Hacking/IT Incident,Network Server,Yes
Modern Cardiology Associates,,Healthcare Provider,10000,4/19/23,Hacking/IT Incident,Network Server,No
Graceworks Lutheran Services,OH,Healthcare Provider,6737,4/19/23,Hacking/IT Incident,Network Server,No
Morgan Stanley,NY,Health Plan,535,4/18/23,Unauthorized Access/Disclosure,Paper/Films,No
"Ethan Health, LLC",KY,Healthcare Provider,4047,4/14/23,Hacking/IT Incident,Email,No
MiniMed Distribution Corp.,CA,Healthcare Provider,58374,4/14/23,Unauthorized Access/Disclosure,Network Server,No
Dallas County,TX,Healthcare Provider,501,4/14/23,Improper Disposal,Desktop Computer,No
United Steelworkers Local 286,PA,Health Plan,37965,4/14/23,Hacking/IT Incident,Email,No
Two Rivers Public Health Department,NE,Healthcare Provider,15168,4/14/23,Hacking/IT Incident,Email,No
Presence Healthcare Services dba Presence Medical Group ,IL,Healthcare Provider,921,4/14/23,Unauthorized Access/Disclosure,Paper/Films,No
Henry County Hospital,OH,Healthcare Provider,3689,4/14/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,49968,4/13/23,Hacking/IT Incident,Network Server,Yes
"NationsBenefits Holdings, LLC",FL,Business Associate,3037303,4/13/23,Hacking/IT Incident,Network Server,Yes
John Muir Health - Walnut Creek Medical Center,CA,Healthcare Provider,821,4/13/23,Unauthorized Access/Disclosure,Network Server,No
Multnomah County,OR,Healthcare Provider,2721,4/12/23,Theft,Paper/Films,No
Cummins Behavioral Health Systems,IN,Healthcare Provider,501,4/12/23,Hacking/IT Incident,Network Server,No
Montgomery General Hospital,WV,Healthcare Provider,500,4/11/23,Hacking/IT Incident,Network Server,No
"Pathway Healthcare, LLC",AL,Healthcare Provider,1304,4/11/23,Unauthorized Access/Disclosure,Email,No
"Retina & Vitreous of Texas, PLLC",TX,Healthcare Provider,35766,4/10/23,Hacking/IT Incident,Network Server,No
Yukon Kuskokwim Health Corporation ,AK,Healthcare Provider,51787,4/10/23,Hacking/IT Incident,Network Server,No
"St. Vincent’s Ambulatory Care, Inc.",FL,Healthcare Provider,768,4/10/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME),IA,Health Plan,20815,4/10/23,Hacking/IT Incident,Network Server,Yes
"La Clínica de La Raza, Inc.",CA,Healthcare Provider,15316,4/7/23,Hacking/IT Incident,Email,No
"Brightline, Inc.",CA,Business Associate,199000,4/7/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,21830,4/7/23,Hacking/IT Incident,Network Server,Yes
Gretna Family Health,NE,Healthcare Provider,600,4/7/23,Hacking/IT Incident,Network Server,No
"Brightline, Inc.",CA,Business Associate,7411,4/7/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,31440,4/7/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,4044,4/7/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,462241,4/7/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,7672,4/7/23,Hacking/IT Incident,Network Server,Yes
Centers for Medicare & Medicaid Services,MD,Health Plan,10011,4/7/23,Unauthorized Access/Disclosure,Paper/Films,Yes
"St. Luke's Health System, Ltd. ",ID,Healthcare Provider,15246,4/6/23,Unauthorized Access/Disclosure,Paper/Films,No
California Physicians’ Services dba Blue Shield of California,CA,Health Plan,1553,4/5/23,Hacking/IT Incident,Network Server,Yes
NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM,PA,Health Plan,13240,4/5/23,Hacking/IT Incident,Email,No
California Physicians' Services d/b/a Blue Shield of California,CA,Business Associate,61790,4/4/23,Hacking/IT Incident,Network Server,Yes
banis plastci surgery,KY,Healthcare Provider,4498,4/4/23,Unauthorized Access/Disclosure,Email,No
Chippewa County,WI,Healthcare Provider,842,4/4/23,Hacking/IT Incident,Network Server,No
"Integrative Health of Utah, PLLC",UT,Healthcare Provider,600,4/3/23,Theft,Electronic Medical Record,No
Southwest Healthcare Services,ND,Healthcare Provider,15996,4/1/23,Hacking/IT Incident,Network Server,No
"Tallahassee Memorial Healthcare, Inc.",FL,Healthcare Provider,20376,3/31/23,Hacking/IT Incident,Network Server,No
"Monument, Inc.",NY,Business Associate,108584,3/31/23,Unauthorized Access/Disclosure,Network Server,Yes
Santa Clara Family Health Plan,CA,Health Plan,276993,3/30/23,Hacking/IT Incident,Network Server,Yes
Aspire Health Partners ,FL,Healthcare Provider,999,3/29/23,Improper Disposal,Paper/Films,No
"UHS of Delaware, Inc. ",PA,Business Associate,40290,3/29/23,Hacking/IT Incident,Email,Yes
