entity,state,type,affected,date,incident,location,business_associate
Long Island Jewish Forest Hills Hospital,NY,Healthcare Provider,10333,8/6/21,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Dynasplint Systems, Inc.",MD,Healthcare Provider,102800,8/6/20,Hacking/IT Incident,Email,No
West Hills Hospital & Medical Center,CA,Healthcare Provider,10650,8/6/19,Hacking/IT Incident,Network Server,Yes
"One Care Medical, LLC",VA,Healthcare Provider,651,8/6/19,Hacking/IT Incident,Network Server,No
"CoreLink Administrative Solutions, LLC",ND,Business Associate,1813,8/6/18,Hacking/IT Incident,Email,Yes
MobilexUSA,OH,Healthcare Provider,605,8/6/14,Loss,Paper/Films,No
"Integrated Regional Laboratories, LLC",FL,Healthcare Provider,29644,8/5/19,Hacking/IT Incident,Network Server,Yes
Surgical Dermatology Group,AL,Healthcare Provider,13308,8/5/17,Hacking/IT Incident,Network Server,Yes
"Elderplan, Inc.",NY,Health Plan,65235,8/5/17,Hacking/IT Incident,Email,No
Center for Minimmally Invasive Bariatric and General Surgery,PA,Healthcare Provider,992,8/5/16,Unauthorized Access/Disclosure,Email,No
Lawrence General Hospital,MA,Healthcare Provider,2071,8/5/15,Loss,Other Portable Electronic Device,No
Baylor All Saints Medical Center at Fort Worth,TX,Healthcare Provider,940,8/5/13,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Health Resources of Arkansas,AR,Business Associate,1911,8/5/13,Theft,Laptop,Yes
"Beauty Dental, Inc.",IL,Healthcare Provider,657,8/5/10,Theft,Paper/Films,No
Aultman Hospital,OH,Healthcare Provider,13867,8/5/10,Theft,Laptop,No
Jewish Hospital,KY,Healthcare Provider,2089,8/5/10,Theft,Laptop,No
Fort Worth Allergy and Asthma Associates,TX,Healthcare Provider,25000,8/5/10,Theft,Network Server,No
McKesson Pharmacy Systems LLC,GA,Business Associate,11440,8/5/10,Other,Other,Yes
Summit Medical Associates,IN,Healthcare Provider,7264,8/4/20,Hacking/IT Incident,Network Server,No
The Carle Foundation,IL,Healthcare Provider,1185,8/4/16,Unauthorized Access/Disclosure,Network Server,No
VA Black Hills Health Care System,SD,Healthcare Provider,1168,8/4/15,Unauthorized Access/Disclosure,Paper/Films,No
"Kareem Redmond, DDS, PLLC",NC,Healthcare Provider,1100,8/3/22,Unauthorized Access/Disclosure,Email,No
UNM Health,NM,Healthcare Provider,1228093,8/3/21,Hacking/IT Incident,Network Server,No
Northern Light Health,ME,Business Associate,304399,8/3/20,Hacking/IT Incident,Other,Yes
Hoag Clinic,CA,Healthcare Provider,738,8/3/20,Theft,Laptop,No
Comanche County Hospital Authority,OK,Health Plan,1112,8/3/20,Hacking/IT Incident,Email,Yes
"St. Peter's Health Partners Medical Associates, P.C.",NY,Healthcare Provider,2333,8/3/20,Loss,Other,Yes
"Central Colorado Dermatology, PC",CO,Healthcare Provider,4065,8/3/18,Hacking/IT Incident,Network Server,No
"CoreSource, Inc.",IL,Business Associate,769,8/3/18,Unauthorized Access/Disclosure,Other,Yes
"Don White, RN, DC, PC dba Canyon Rd Chiropractic and Massage",OR,Healthcare Provider,2900,8/3/18,Hacking/IT Incident,Network Server,No
Kaiser Foundation Health Plan of Colorado,CO,Health Plan,900,8/3/18,Unauthorized Access/Disclosure,Paper/Films,No
City of Hope,CA,Healthcare Provider,3400,8/3/17,Hacking/IT Incident,Email,No
Spectrum Health System,MI,Healthcare Provider,902,8/3/17,Theft,Other Portable Electronic Device,No
Banner Health,AZ,Healthcare Provider,3620000,8/3/16,Hacking/IT Incident,Other,No
"Orlantino Dyoco, M.D.",CA,Healthcare Provider,9000,8/3/15,Theft,Laptop,No
Harris County Hospital District,TX,Healthcare Provider,2875,8/3/12,Theft,Paper/Films,No
"Stanford Hospital & Clinics and School of Medicine, Privacy Manager Breach",CA,Healthcare Provider,2300,8/3/12,Theft,Desktop Computer,No
Brigham and Women's Hospital and Faulkner Hospital,MA,Healthcare Provider,638,8/3/11,Theft,Other Portable Electronic Device,No
Wright State Physicians,OH,Healthcare Provider,1309,8/3/10,Other,Laptop,No
Penn Treaty Network America Insurance Company,PA,Health Plan,560,8/3/10,Other,Other,No
Southwest Behavioral & Health Services,AZ,Healthcare Provider,1337,8/2/22,Hacking/IT Incident,Email,No
Hospice of the Piedmont,VA,Healthcare Provider,10682,8/2/21,Hacking/IT Incident,Email,No
Valley Physical Medicine & Rehabilitation,AZ,Health Plan,1866,8/2/21,Unauthorized Access/Disclosure,Email,No
Wisconsin Diagnostic Laboratories,WI,Healthcare Provider,114985,8/2/19,Hacking/IT Incident,Other,Yes
University of Missouri Health Care,MO,Healthcare Provider,14402,8/2/19,Hacking/IT Incident,Email,No
Mount Sinai Hospital,NY,Healthcare Provider,33730,8/2/19,Hacking/IT Incident,Other,Yes
Presbyterian Healthcare Services,NM,Healthcare Provider,1120629,8/2/19,Hacking/IT Incident,Email,No
Bluetail Medical Group,MO,Healthcare Provider,11000,8/2/17,Hacking/IT Incident,Desktop Computer,No
Missouri Department of Social Services,MO,Business Associate,1357,8/2/13,Unauthorized Access/Disclosure,Paper/Films,Yes
"Vitreo-Retinal Medical Group, Inc.",CA,Healthcare Provider,1837,8/2/13,Theft,Laptop,No
Lane County Health & Human Services,OR,Healthcare Provider,715,8/1/18,Loss,Paper/Films,No
Southwestern Eye Center,AZ,Healthcare Provider,667,8/1/18,Unauthorized Access/Disclosure,Paper/Films,No
Daniel Drake Center for Post-Acute Care,OH,Healthcare Provider,4721,8/1/17,Unauthorized Access/Disclosure,Electronic Medical Record,No
Sport and Spine Rehab,MD,Healthcare Provider,31120,8/1/17,Hacking/IT Incident,Network Server,No
Freeport Regional Health Care Foundation,IL,Healthcare Provider,4120,7/31/20,Hacking/IT Incident,Email,No
St. Christopher's Hospital for Children,PA,Healthcare Provider,7557,7/31/20,Unauthorized Access/Disclosure,Email,No
Muskingum Valley Health Centers,OH,Healthcare Provider,7447,7/31/20,Hacking/IT Incident,Network Server,No
Northwest Rheumatology,AZ,Healthcare Provider,7468,7/31/17,Hacking/IT Incident,Network Server,No
North East Medical Services (NEMS),CA,Healthcare Provider,69246,7/31/15,Theft,Laptop,No
"Siouxland Anesthesiology, Ltd.",SD,Healthcare Provider,13000,7/31/15,Hacking/IT Incident,Network Server,No
Cancer Specialists of Tidewater,VA,Healthcare Provider,2318,7/31/14,Theft,Other,No
"StayWell Health Management, LLC",MN,Business Associate,4487,7/31/14,Hacking/IT Incident,Network Server,Yes
Rocky Mountain Spine Clinic,CO,Healthcare Provider,532,7/31/13,Unauthorized Access/Disclosure,Email,No
Oregon Health & Science University,OR,Healthcare Provider,702,7/31/12,Theft,Other,No
VNA Health Care Hartford Hospital,CT,Healthcare Provider,7461,7/31/12,Theft,Laptop,No
UF Health Central Florida,FL,Healthcare Provider,700934,7/30/21,Hacking/IT Incident,Network Server,No
Renaissance Life & Health Insurance Company of America,IN,Health Plan,4727,7/30/21,Hacking/IT Incident,Network Server,Yes
"Woods Super Markets, Inc.",MO,Healthcare Provider,785,7/30/21,Hacking/IT Incident,Network Server,Yes
Mount St. Mary's Hospital,NY,Healthcare Provider,6538,7/30/21,Hacking/IT Incident,Network Server,Yes
Sisters of Charity Hospital,NY,Healthcare Provider,10464,7/30/21,Hacking/IT Incident,Network Server,Yes
Elkins Rehabilitation & Care Center,WV,Healthcare Provider,3127,7/30/20,Hacking/IT Incident,Email,No
Berkshire Farm Center and Services for Youth,NY,Healthcare Provider,4950,7/30/20,Hacking/IT Incident,Network Server,No
BioReference Laboratories Inc.,NJ,Healthcare Provider,425749,7/30/19,Hacking/IT Incident,Other,Yes
SSM Health St. Mary's Hospital - Jefferson City,MO,Healthcare Provider,301000,7/30/18,Improper Disposal,Paper/Films,No
Iowa Health System d/b/a UnityPoint Health,IA,Business Associate,1421107,7/30/18,Hacking/IT Incident,Email,Yes
Sioux Falls VA Health Care System,SD,Healthcare Provider,1111,7/30/15,Loss,Paper/Films,No
Rite Aid Store 5256,WA,Healthcare Provider,522,7/30/14,Theft,Paper/Films,No
Midwest Urological Group,IL,Healthcare Provider,982,7/30/14,Theft,Laptop,No
"California Correctional Health Care Services, Privacy Manager Breach",CA,Healthcare Provider,1001,7/30/13,Unknown,Other,No
EMC,CT,Business Associate,7461,7/30/12,Theft,Laptop,Yes
Walgreen Co.,IL,Healthcare Provider,1240,7/30/12,Theft,Paper/Films,No
"WellPoint, Inc.",IN,Health Plan,31700,7/30/10,Hacking/IT Incident,Network Server,No
Mercer,MI,Business Associate,1073,7/30/10,Loss,Other,Yes
Carolina Center for Development and Rehabilitation,NC,Healthcare Provider,1590,7/30/10,Theft,Paper/Films,No
Matrix Imaging,NY,Business Associate,2631,7/30/10,Theft,Paper/Films,Yes
Baylor College of Medicine,TX,Healthcare Provider,1646,7/30/10,Theft,Laptop,No
Texas Children's Hospital,TX,Healthcare Provider,694,7/30/10,Theft,Laptop,No
"Eau Claire Cooperative Health, Inc. DBA Cooperative Health",SC,Healthcare Provider,3755,7/29/21,Hacking/IT Incident,Other,Yes
Rite Aid Corporation,PA,Healthcare Provider,13600,7/29/20,Theft,Paper/Films,No
Aetna ACE,CT,Health Plan,1084,7/29/20,Hacking/IT Incident,Email,Yes
"Jefferson Medical Associates, P.A.",MS,Healthcare Provider,10401,7/29/16,Hacking/IT Incident,Network Server,No
"Athens Orthopedic Clinic, P.A.",GA,Healthcare Provider,201000,7/29/16,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Prima CARE, PC",MA,Healthcare Provider,1651,7/29/15,Unauthorized Access/Disclosure,Paper/Films,No
East Bay Perinatal Medical Associates,CA,Business Associate,1494,7/29/15,Unauthorized Access/Disclosure,Laptop,Yes
"PRN Medical Services, LLC dba Symbius Medical, LLC",AZ,Healthcare Provider,13877,7/29/14,Unauthorized Access/Disclosure,Network Server,No
Treatment Services Northwest,OR,Healthcare Provider,1200,7/29/11,Theft,Desktop Computer,No
Mills-Peninsula Health Services,CA,Healthcare Provider,1500,7/29/11,Unauthorized Access/Disclosure,Paper/Films,No
K&B Surgical Center LLC,CA,Healthcare Provider,14774,7/28/21,Hacking/IT Incident,Network Server,No
"A2Z Diagnostics, LLC",NJ,Healthcare Provider,35587,7/28/21,Hacking/IT Incident,Email,No
Beaumont Health,MI,Healthcare Provider,6073,7/28/20,Hacking/IT Incident,Network Server,No
Braun Dermatology & Skin Cancer Center,DC,Healthcare Provider,1200,7/28/17,Unauthorized Access/Disclosure,Email,No
"Athletes' Performance Los Angeles, LLC",AZ,Healthcare Provider,854,7/28/16,Theft,Laptop,No
The McLean Hospital Corporation,MA,Healthcare Provider,12673,7/28/15,Loss,Other Portable Electronic Device,No
Dr. Veronica Joann Barber,CA,Business Associate,4000,7/28/14,Unauthorized Access/Disclosure,Network Server,Yes
Oregon Health & Science University,OR,Healthcare Provider,1361,7/28/13,Unauthorized Access/Disclosure,Other,No
Health Care Service Corporation,IL,Health Plan,501,7/28/11,Theft,Paper/Films,No
"Austin Center for Therapy and Assessment, LLC",TX,Healthcare Provider,1870,7/28/11,Theft,Laptop,No
University of Kentucky - UK HealthCare,KY,Healthcare Provider,3604,7/28/11,Theft,Laptop,No
Charles Mitchell MD,TX,Healthcare Provider,6873,7/28/10,Theft,Desktop Computer,No
Aetna ACE,CT,Health Plan,325278,7/27/22,Hacking/IT Incident,Network Server,Yes
Harris County,TX,Healthcare Provider,26000,7/27/21,Unauthorized Access/Disclosure,Network Server,No
Children's Hospital Colorado,CO,Healthcare Provider,2553,7/27/20,Hacking/IT Incident,Email,No
Owens Ear Center,TX,Healthcare Provider,19908,7/27/20,Hacking/IT Incident,Network Server,No
"Behavioral Health Network, Inc.",MA,Healthcare Provider,129571,7/27/20,Hacking/IT Incident,Network Server,No
Confluence Health,WA,Healthcare Provider,33821,7/27/18,Hacking/IT Incident,Email,No
"Ambercare Corporation, Inc.",NM,Healthcare Provider,2284,7/27/18,Theft,Laptop,No
"Longwood Orthopedic Associates, Inc.",MA,Healthcare Provider,10000,7/27/18,Unauthorized Access/Disclosure,Email,No
Plastic Surgery Associates of South Dakota,SD,Healthcare Provider,10229,7/27/17,Hacking/IT Incident,Network Server,No
Northwest Behavioral Healthcare Services,OR,Healthcare Provider,500,7/27/17,Unauthorized Access/Disclosure,Email,No
"Christine D. Collins, APC & Ann Hofstadter, MD Inc.",CA,Healthcare Provider,1500,7/27/17,Hacking/IT Incident,Email,No
Northwestern Memorial Hospital,IL,Healthcare Provider,4211,7/27/12,Theft,Other Portable Electronic Device,No
Jeffrey Paul Edelstein M.D.,AZ,Healthcare Provider,4800,7/27/12,Theft,Network Server,No
Aetna,CT,Health Plan,6372,7/27/10,Unauthorized Access/Disclosure,Paper/Films,No
"siParadigm, LLC",NJ,Healthcare Provider,1654,7/26/21,Unauthorized Access/Disclosure,Network Server,No
"CompuNet Clinical Laboratories, LLC",OH,Healthcare Provider,111555,7/26/19,Hacking/IT Incident,Other,Yes
Walmart Inc.,AR,Healthcare Provider,3135,7/26/19,Loss,Paper/Films,No
Fordland Clinic Inc.,MO,Healthcare Provider,881,7/26/19,Hacking/IT Incident,Email,No
Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group,TN,Healthcare Provider,3812,7/26/19,Hacking/IT Incident,Email,No
Midwest Orthopedic Pain and Spine,MO,Healthcare Provider,29153,7/26/16,Hacking/IT Incident,Network Server,No
Laboratory of Dermatopathology,NY,Healthcare Provider,4082,7/25/19,Hacking/IT Incident,Network Server,No
Arizona Dermatopathology,AZ,Healthcare Provider,5903,7/25/19,Hacking/IT Incident,Network Server,No
"Laboratory Medicine Consultants, Ltd.",NV,Healthcare Provider,140590,7/25/19,Hacking/IT Incident,Network Server,No
Seacoast Pathology,NH,Healthcare Provider,8992,7/25/19,Hacking/IT Incident,Network Server,No
Austin Pathology,TX,Healthcare Provider,43676,7/25/19,Hacking/IT Incident,Network Server,No
Western Pathology,NV,Healthcare Provider,4079,7/25/19,Hacking/IT Incident,Network Server,No
"Pathology Solutions, LLC",NJ,Healthcare Provider,13270,7/25/19,Hacking/IT Incident,Network Server,No
"Hennepin Healthcare System, Inc. dba Hennepin Healthcare",MN,Healthcare Provider,820,7/25/19,Hacking/IT Incident,Email,Yes
"Susan Marshall, M.D.,PC",NY,Healthcare Provider,774,7/25/19,Theft,Laptop,No
Temple University Health System,PA,Healthcare Provider,2399,7/25/19,Hacking/IT Incident,Email,Yes
Wayne County Board of Developmental Disabilities,OH,Healthcare Provider,536,7/25/19,Hacking/IT Incident,Network Server,No
StarCare Speciality Health System,TX,Healthcare Provider,2844,7/25/16,Theft,Paper/Films,No
"American Family Care, Inc.",AL,Healthcare Provider,7200,7/25/16,Unauthorized Access/Disclosure,Other,No
"Urological Associates of Southern Arizona, P.C.",AZ,Healthcare Provider,3529,7/25/14,Improper Disposal,Other,No
Self Regional Healthcare,SC,Healthcare Provider,38906,7/25/14,Theft,Laptop,No
Louisiana State University Health Care Services Division,LA,Healthcare Provider,1100,7/25/13,Unauthorized Access/Disclosure,Desktop Computer,No
Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,Healthcare Provider,1504,7/25/12,Theft,Other,No
"The Surgeons of Lake County, LLC",IL,Healthcare Provider,7067,7/25/12,Hacking/IT Incident,Network Server,No
"University of Maryland Faculty Physicians, Inc. / University of Maryland Medical Center",MD,Healthcare Provider,33896,7/24/20,Hacking/IT Incident,Email,No
Walgreen Co.,IL,Healthcare Provider,72143,7/24/20,Theft,Paper/Films,No
Town of Babylon,NY,Healthcare Provider,1974,7/24/20,Hacking/IT Incident,Email,No
Foundation Surgical Hospital of San Antonio,TX,Healthcare Provider,1237,7/24/20,Unauthorized Access/Disclosure,Other,No
"Supervalu Pharmacies, Inc.",MN,Healthcare Provider,1593,7/24/20,Theft,Other,No
CVS Pharmacy,RI,Healthcare Provider,26234,7/24/20,Loss,Paper/Films,No
"Anthem, Inc.",IN,Health Plan,18580,7/24/17,Unauthorized Access/Disclosure,Email,Yes
OhioHealth,OH,Healthcare Provider,1006,7/24/15,Loss,Other Portable Electronic Device,No
"Advanced Radiology Consultants, LLC",CT,Healthcare Provider,855,7/24/15,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Healthfirst Affiliates that include Healthfirst PHSP, Inc., Managed Health, Inc., HF Management Services, LLC, and Senior Health Partners",NY,Health Plan,5338,7/24/15,Hacking/IT Incident,Electronic Medical Record,No
"Urology Associates, Professional Corporation",MT,Healthcare Provider,6500,7/24/15,Unauthorized Access/Disclosure,Paper/Films,No
"Yale New Haven Health Services Corporation (""YNHHS"")",CT,Healthcare Provider,14603,7/23/21,Hacking/IT Incident,Network Server,Yes
Mobile County Commission,AL,Business Associate,1337,7/23/21,Hacking/IT Incident,Network Server,Yes
Electrical Workers Local 369,KY,Health Plan,662,7/23/21,Hacking/IT Incident,Email,No
Ascension Via Christi ACE,KS,Healthcare Provider,1977,7/23/21,Hacking/IT Incident,Email,Yes
RCCA MSO LLC,NJ,Business Associate,102000,7/23/19,Hacking/IT Incident,Email,Yes
"Cosmetic Surgery Specialists, P.C.",PA,Healthcare Provider,3000,7/23/19,Improper Disposal,Paper/Films,Yes
Medical Informatics Engineering,IN,Business Associate,3500000,7/23/15,Hacking/IT Incident,Network Server,Yes
BioReference Laboratories Inc,NJ,NA,3334,7/23/14,Unauthorized Access/Disclosure,Network Server,Yes
Midwest Orthopaedic Center SC,IL,Business Associate,680,7/23/14,Unauthorized Access/Disclosure,Network Server,Yes
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,8488,7/23/12,Theft,Desktop Computer,No
"DC Chartered Health Plan, Inc",DC,Health Plan,540,7/23/10,Theft,Laptop,No
The University of Texas at Arlington,TX,Healthcare Provider,27000,7/23/10,Hacking/IT Incident,Network Server,No
"Medina OB/GYN Associates, Inc",OH,Business Associate,1200,7/23/10,Improper Disposal,Paper/Films,Yes
Montefiore Medical Center,NY,Healthcare Provider,23753,7/23/10,Theft,Desktop Computer,No
Montefiore Medical Center,NY,Healthcare Provider,16820,7/23/10,Theft,Desktop Computer,No
West Holt Memorial Hospital,NE,Healthcare Provider,541,7/22/21,Hacking/IT Incident,Email,No
Thomas Jefferson University Hospital,PA,Business Associate,1346,7/22/21,Hacking/IT Incident,Network Server,Yes
"Caring for Women, PA",TX,Healthcare Provider,697,7/22/16,Unauthorized Access/Disclosure,Email,Yes
"Ambucor Health Solutions, an unincorporated division of The ScottCare Corporation",DE,Business Associate,1679,7/22/16,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
Montefiore Medical Center,NY,Healthcare Provider,12517,7/22/15,Theft,Electronic Medical Record,No
Louisiana State University Health Care Services Division,LA,Healthcare Provider,6994,7/22/13,Unauthorized Access/Disclosure,Desktop Computer,No
"Andersen Air Force Base, Guam",VA,Healthcare Provider,700,7/22/11,Improper Disposal,Paper/Films,No
Windsor Health Plan,TN,Business Associate,1378,7/22/11,Unauthorized Access/Disclosure,Paper/Films,Yes
"RxAmerica, a subsidiary of CVS Caremark",TX,Business Associate,4573,7/22/11,Unauthorized Access/Disclosure,Paper/Films,Yes
"Academic HealthPlans, Inc.",TX,Business Associate,79263,7/21/21,Hacking/IT Incident,Email,Yes
"BlueCross BlueShield of TN, Inc.",TN,Health Plan,2117,7/21/17,Unauthorized Access/Disclosure,Paper/Films,No
The University of Vermont Medical Center,VT,Healthcare Provider,2300,7/21/17,Hacking/IT Incident,Email,No
Performance Physical Therapy and Wellness,CT,Healthcare Provider,571,7/21/17,Hacking/IT Incident,Email,No
Massachusetts Department of Public Health - Tewksbury Hospital,MA,Healthcare Provider,1176,7/21/17,Unauthorized Access/Disclosure,Electronic Medical Record,No
Kaleida Health,NY,Healthcare Provider,2789,7/21/17,Hacking/IT Incident,Email,No
Sunbury Plaza Dental,OH,Business Associate,7784,7/21/16,Theft,Paper/Films,Yes
"Assurecare Risk Management, Inc.",IL,Business Associate,25330,7/21/11,Unauthorized Access/Disclosure,Network Server,Yes
The Bronx Accountable Healthcare Network,NY,Healthcare Provider,17161,7/20/22,Hacking/IT Incident,Email,No
Prestera Center for Mental Health Services,WV,Healthcare Provider,2152,7/20/21,Hacking/IT Incident,Email,No
Texas Health Presbyterian Hospital Flower Mound,TX,Healthcare Provider,781,7/20/21,Unauthorized Access/Disclosure,Email,No
"Orlando Family Physicians, LLC",FL,Healthcare Provider,447426,7/20/21,Hacking/IT Incident,Email,No
Highpoint Foot & Ankle Center,PA,Healthcare Provider,25554,7/20/20,Hacking/IT Incident,Network Server,No
University of Utah,UT,Healthcare Provider,10000,7/20/20,Hacking/IT Incident,Email,No
Mountain Peaks Family Practice,UT,Healthcare Provider,1505,7/20/20,Unauthorized Access/Disclosure,Paper/Films,No
Institute on Aging,CA,Healthcare Provider,3907,7/20/18,Hacking/IT Incident,Email,No
Boys Town National Research Hospital,NE,Healthcare Provider,105309,7/20/18,Hacking/IT Incident,Email,No
NorthStar Anesthesia,TX,Healthcare Provider,19807,7/20/18,Hacking/IT Incident,Email,No
"MedSpring of Texas, PA",TX,Healthcare Provider,13034,7/20/18,Hacking/IT Incident,Email,Yes
StatCare Group LLC,MD,Healthcare Provider,679,7/20/18,Hacking/IT Incident,Email,Yes
Orlando Orthopaedic Center,FL,Healthcare Provider,19101,7/20/18,Unauthorized Access/Disclosure,Network Server,Yes
"Vision Care Specialists, Inc.",CO,Healthcare Provider,703,7/20/17,Theft,Paper/Films,No
"Memorial Hermann Health System, reporting on behalf of Memorial Hermann Health System Employee Group Health Plan",TX,Health Plan,12061,7/20/16,Unauthorized Access/Disclosure,Paper/Films,No
Brian Halevie-Goldman,CA,Healthcare Provider,2000,7/20/16,Theft,Laptop,No
"Premier Family Care I, Inc.",TX,Healthcare Provider,1326,7/20/16,Unauthorized Access/Disclosure,Paper/Films,No
Neurology Physicians LLC,MD,Healthcare Provider,4831,7/20/16,Hacking/IT Incident,Other,No
Special Agents Mutual Benefit Association,MD,Health Plan,1475,7/20/15,Hacking/IT Incident,Network Server,Yes
The Brookdale Hospital and Medical Center,NY,Healthcare Provider,2700,7/20/13,Loss,Other Portable Electronic Device,No
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,3900,7/20/12,Theft,Laptop,No
Blue Cross and Blue Shield of Alabama,AL,Health Plan,8702,7/19/22,Hacking/IT Incident,Network Server,Yes
The University of North Carolina Hospitals,NC,Healthcare Provider,8114,7/19/21,Hacking/IT Incident,Email,No
Southwest Nebraska Public Health Department,NE,Healthcare Provider,12968,7/19/21,Unauthorized Access/Disclosure,Desktop Computer,No
The Cancer Center of Greenwood Leflore Hospital,MS,Healthcare Provider,2714,7/19/21,Hacking/IT Incident,Network Server,Yes
City of Philadelphia,PA,Health Plan,1458,7/19/19,Loss,Laptop,No
Bayamon Medical Center Corp.,NA,Healthcare Provider,422496,7/19/19,Hacking/IT Incident,Network Server,No
"Puerto Rico Women And Children's Hospital, LLC",NA,Healthcare Provider,99943,7/19/19,Hacking/IT Incident,Network Server,No
"Security Health Plan of Wisconsin, Inc.",WI,Health Plan,3657,7/19/19,Hacking/IT Incident,Email,Yes
Fairbanks North Star Borough,AK,Healthcare Provider,6346,7/19/18,Hacking/IT Incident,Network Server,Yes
Family Physicians of Old Town Fairfax PC,VA,Healthcare Provider,500,7/19/18,Hacking/IT Incident,Network Server,No
Metropolitan Life Insurance Company,NY,Health Plan,4220,7/19/17,Unauthorized Access/Disclosure,Other,No
"SAGE DENTAL MANAGEMENT, LLC",FL,Business Associate,5000,7/19/17,Theft,Other,Yes
"Access Health Care Physicians, LLC",FL,Healthcare Provider,2500,7/19/16,Theft,Paper/Films,No
"GEO Care, LLC",FL,Healthcare Provider,710,7/19/13,Theft,Desktop Computer,No
Rite Aid #2255,WV,Health Plan,948,7/19/13,Other,Paper/Films,No
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,2021,7/19/11,Hacking/IT Incident,Network Server,No
"Iron Mountain Data Products, Inc. (now known as",PA,Business Associate,800000,7/19/10,Loss,Other,Yes
"Imperial Health, LLP",LA,Healthcare Provider,116262,7/18/19,Hacking/IT Incident,Network Server,No
Administracion de Seguros de Salud - Triple S Salud Inc (BA),PR,Health Plan,7911,7/18/14,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Jesle Kuizon,CA,Business Associate,800,7/18/13,Unauthorized Access/Disclosure,Network Server,Yes
NCP Healthcare Management Company,MA,Business Associate,78070,7/17/20,Hacking/IT Incident,Email,Yes
"Brandywine Counseling & Community Services, Inc",DE,Healthcare Provider,4139,7/17/20,Unauthorized Access/Disclosure,Paper/Films,No
Maryland Health Enterprises DBA Lorien Health Services,MD,Healthcare Provider,537,7/17/20,Hacking/IT Incident,Network Server,No
Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center,MD,Healthcare Provider,2696,7/17/19,Hacking/IT Incident,Email,No
"Ruben U. Carvajal, MD",NY,Healthcare Provider,3775,7/17/18,Hacking/IT Incident,Electronic Medical Record,No
"University of California, Los Angeles Health",CA,Healthcare Provider,4500000,7/17/15,Hacking/IT Incident,Network Server,No
Minneapolis VA Health Care System,MN,Health Plan,500,7/17/14,Unauthorized Access/Disclosure,Paper/Films,No
Pamlico Medical Equipment LLC,NC,Healthcare Provider,2917,7/17/12,Loss,Other Portable Electronic Device,No
UnitedHealthcare Insurance Company,MN,Business Associate,1097,7/17/10,Other,Paper/Films,Yes
"CleanSlate Centers, Inc.",TN,Healthcare Provider,890,7/16/21,Hacking/IT Incident,Email,No
Intermountain Healthcare,UT,Healthcare Provider,28628,7/16/21,Hacking/IT Incident,Network Server,Yes
McLaren Health Care Corporation,MI,Healthcare Provider,64600,7/16/21,Hacking/IT Incident,Network Server,Yes
Sierra Nevada Primary Care Physicians,CA,Healthcare Provider,1717,7/16/21,Theft,Paper/Films,No
Advocate Aurora Health,WI,Healthcare Provider,68707,7/16/21,Hacking/IT Incident,Network Server,Yes
Allergy and Asthma Clinic of Fort Worth,TX,Healthcare Provider,69777,7/16/20,Hacking/IT Incident,Network Server,No
"US HealthCenter, Inc.",WI,Business Associate,1441,7/16/20,Hacking/IT Incident,Email,Yes
WellCare Health Plans,FL,Health Plan,50440,7/16/20,Unauthorized Access/Disclosure,Paper/Films,No
"Heartland Counseling Services, Inc.",NE,Healthcare Provider,723,7/16/20,Unauthorized Access/Disclosure,Email,No
"The Puerto Rican Organization to Motivate, Enlighten, and Serve Addicts, Inc. (PROMESA)",NY,Healthcare Provider,3129,7/16/20,Hacking/IT Incident,Email,No
"Associates in Dermatology, PLLC",KY,Healthcare Provider,9020,7/16/19,Hacking/IT Incident,Email,No
"Northwood, Inc.",MI,Business Associate,583,7/16/19,Unauthorized Access/Disclosure,Email,Yes
"Northwood, Inc.",MI,Business Associate,3881,7/16/19,Unauthorized Access/Disclosure,Email,Yes
Comprehensive Cancer Centers of Nevada,NV,Healthcare Provider,2251,7/16/19,Theft,Paper/Films,No
Brewer Porch Children's Center / The University of Alabama,AL,Healthcare Provider,727,7/16/19,Hacking/IT Incident,Network Server,No
Sunspire Health,NJ,Healthcare Provider,6737,7/16/18,Hacking/IT Incident,Email,No
PA Dept. of Human Services,PA,Healthcare Provider,2130,7/16/18,Unauthorized Access/Disclosure,Other,No
Bay Area Pain Medical Associates,CA,Healthcare Provider,2780,7/16/14,Theft,Desktop Computer,No
University of Pennsylvania Health System,PA,Healthcare Provider,661,7/16/14,Theft,Paper/Films,No
Harris County,TX,Health Plan,21000,7/16/13,Unauthorized Access/Disclosure,Desktop Computer,No
Molalla Family Dental,OR,Healthcare Provider,4354,7/16/12,Unauthorized Access/Disclosure,Network Server,No
"Hamner Square Dental, Privacy Manager Breach",CA,Healthcare Provider,1112,7/16/12,Unknown,Other Portable Electronic Device,No
