Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Catholic Charities of the Diocese of Rockville Centre d/b/a Catholic Charities of Long Island,NY,Healthcare Provider,13000,11/03/2023,Hacking/IT Incident,Network Server,No
"Youth and Shelter Services, Inc.",IA,Healthcare Provider,501,11/03/2023,Hacking/IT Incident,Network Server,No
WACOSA,MN,Healthcare Provider,1380,11/03/2023,Hacking/IT Incident,Network Server,No
"Westat, Inc.",MD,Business Associate,20045,11/03/2023,Hacking/IT Incident,Network Server,Yes
Life Generations Healthcare LLC,CA,Healthcare Provider,5832,11/03/2023,Hacking/IT Incident,Email,No
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.",NJ,Healthcare Provider,79582,11/03/2023,Hacking/IT Incident,Network Server,No
"Postmeds, Inc.",CA,Healthcare Provider,2364359,10/30/2023,Hacking/IT Incident,Other,Yes
Longhorn Village,TX,Healthcare Provider,1670,10/30/2023,Hacking/IT Incident,Email,No
"Frederiksted Health Care, Inc.",NA,Healthcare Provider,600,10/30/2023,Hacking/IT Incident,Network Server,No
Northern Iowa Therapy PC,IA,Business Associate,5100,10/29/2023,Hacking/IT Incident,Network Server,Yes
PeakMed,CO,Healthcare Provider,27800,10/27/2023,Hacking/IT Incident,Network Server,No
Pause Pain & Wellness,MS,Healthcare Provider,777,10/27/2023,Unauthorized Access/Disclosure,Email,Yes
Hospital Sisters Health System,IL,Business Associate,500,10/26/2023,Hacking/IT Incident,Network Server,Yes
"Greater Rochester Independent Practice Association, Inc.",NY,Healthcare Provider,279156,10/26/2023,Hacking/IT Incident,Network Server,No
Western Washington Medical Group,MS,Healthcare Provider,350863,10/26/2023,Hacking/IT Incident,Network Server,No
"Fredericksburg Foot & Ankle Center, PLC",VA,Healthcare Provider,14912,10/25/2023,Hacking/IT Incident,Network Server,No
"Edward C. Taylor, PhD., PL",FL,Healthcare Provider,6684,10/25/2023,Hacking/IT Incident,"Desktop Computer, Network Server",No
LCS Financial Services,CO,Business Associate,768,10/24/2023,Hacking/IT Incident,Network Server,Yes
eleHealth,LA,Business Associate,2187,10/24/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
"University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity",MI,Healthcare Provider,61033,10/23/2023,Hacking/IT Incident,Network Server,No
Dakota Eye Institute,ND,Healthcare Provider,107143,10/23/2023,Hacking/IT Incident,Network Server,No
La Red Health Center,DE,Healthcare Provider,501,10/20/2023,Hacking/IT Incident,Network Server,No
McLaren Health Care,MI,Healthcare Provider,501,10/20/2023,Hacking/IT Incident,Network Server,No
City of Philadelphia,PA,Health Plan,501,10/20/2023,Hacking/IT Incident,Email,No
Radius Global Solutions,PA,Business Associate,135742,10/19/2023,Hacking/IT Incident,Network Server,Yes
Counseling and Recovery Services of Oklahoma,OK,Healthcare Provider,3365,10/19/2023,Hacking/IT Incident,"Desktop Computer, Email",No
"Hospital & Medical Foundation of Paris, Inc",IL,Healthcare Provider,16598,10/19/2023,Hacking/IT Incident,Network Server,Yes
Napa Integrated Medicine PC,CA,Business Associate,600,10/19/2023,Theft,Desktop Computer,Yes
Oscar Insurance Company of Florida,NY,Health Plan,1045,10/19/2023,Hacking/IT Incident,Network Server,No
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport",MS,Healthcare Provider,501,10/18/2023,Hacking/IT Incident,Network Server,No
BHI Energy Health and Welfare Benefits Plan,MA,Health Plan,4049,10/18/2023,Hacking/IT Incident,Network Server,No
Helping the Aging Needy and Disabled Inc,TX,Healthcare Provider,628,10/18/2023,Hacking/IT Incident,Email,No
Peerstar LLC,PA,Healthcare Provider,11438,10/16/2023,Hacking/IT Incident,Network Server,No
Pacific Clear Vision Institute,OR,Healthcare Provider,626,10/15/2023,Unauthorized Access/Disclosure,Email,No
"Westat, Inc.",MD,Business Associate,50065,10/13/2023,Hacking/IT Incident,Network Server,Yes
Atlas Healthcare CT,CT,Healthcare Provider,10831,10/13/2023,Unauthorized Access/Disclosure,Network Server,No
NASCO,GA,Business Associate,2956,10/10/2023,Hacking/IT Incident,Network Server,Yes
"BHS Physician Network, Inc.",TX,Healthcare Provider,1857,10/10/2023,Hacking/IT Incident,Email,No
Data Media Associates,GA,Business Associate,2035,10/09/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Fellowship Village,NJ,Healthcare Provider,501,10/08/2023,Hacking/IT Incident,Network Server,No
Brooklyn Premier Orthopedics,NY,Healthcare Provider,48459,10/06/2023,Hacking/IT Incident,Network Server,No
"Neurovative Diagnostics, LLC",TX,Healthcare Provider,1599,10/05/2023,Unauthorized Access/Disclosure,Email,No
Carle Health,IL,Healthcare Provider,679,10/05/2023,Hacking/IT Incident,Network Server,Yes
Responsive Care Solutions,FL,Business Associate,5200,10/05/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Region 4 South Mental Health Consortium,MN,Healthcare Provider,571,10/05/2023,Hacking/IT Incident,Network Server,No
Borgfeld Dental Center PLLC dba Henwood Family Dentistry,TX,Healthcare Provider,7300,10/02/2023,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No
"Arietis Health, LLC",FL,Business Associate,1975066,09/29/2023,Hacking/IT Incident,Network Server,Yes
"Prospect Medical Holdings, Inc.",CA,Business Associate,342376,09/29/2023,Hacking/IT Incident,Network Server,Yes
"Piedmont Healthcare, Inc.",GA,Healthcare Provider,895,09/29/2023,Hacking/IT Incident,Network Server,Yes
