Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Personal Touch Home Aides of New York, Inc.",NY,Healthcare Provider,38693,01/28/2020,Hacking/IT Incident,"Network Server, Other",Yes
Iowa Department of Human Services,IA,Health Plan,4501,01/27/2020,Improper Disposal,Paper/Films,No
Beaumont Health,MI,Healthcare Provider,1182,01/24/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No
Cedarbrook Senior Care and Rehabilitation / County of Lehigh,PA,Healthcare Provider,688,01/24/2020,Unauthorized Access/Disclosure,Email,No
Lafayette Regional Rehabilitation Hospital,IN,Healthcare Provider,1360,01/24/2020,Hacking/IT Incident,Email,No
Cook County Health,IL,Healthcare Provider,2713,01/24/2020,Unauthorized Access/Disclosure,Network Server,No
Village Senior Services Corporation d/b/a VillageCareMAX,NY,Health Plan,2645,01/24/2020,Hacking/IT Incident,Email,No
Village Center for Care d/b/a VillageCare Rehabilitative and Nursing Center,NY,Healthcare Provider,674,01/24/2020,Hacking/IT Incident,"Email, Other",No
"Manchester Ophthalmology, LLC",CT,Healthcare Provider,6846,01/24/2020,Hacking/IT Incident,Network Server,No
"REVA, INC.",FL,Healthcare Provider,1000,01/22/2020,Hacking/IT Incident,Email,No
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,934,01/22/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
NeurAbilities Healthcare,NJ,Healthcare Provider,11747,01/21/2020,Hacking/IT Incident,Email,No
"Solara Medical Supplies, LLC",CA,Healthcare Provider,1531,01/17/2020,Unauthorized Access/Disclosure,Paper/Films,No
Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,30049,01/17/2020,Hacking/IT Incident,Network Server,No
Roper St. Francis Healthcare,SC,Healthcare Provider,1634,01/17/2020,Improper Disposal,Paper/Films,No
Phoenix Children’s Hospital,AZ,Healthcare Provider,1860,01/14/2020,Hacking/IT Incident,Email,No
Children's Hope Alliance,NC,Healthcare Provider,4564,01/14/2020,Hacking/IT Incident,Email,No
PIH Health,CA,Healthcare Provider,199548,01/10/2020,Hacking/IT Incident,Email,No
Spectrum Healthcare Partners,ME,Healthcare Provider,11308,01/10/2020,Hacking/IT Incident,Email,No
"InterMed, PA",ME,Healthcare Provider,33000,01/08/2020,Hacking/IT Incident,Email,No
"CAH Holdings, Inc.",AL,Business Associate,1158,01/06/2020,Hacking/IT Incident,Email,Yes
"RCM Enterprise Services, Inc.",FL,Business Associate,5965,01/06/2020,Unauthorized Access/Disclosure,Paper/Films,Yes
"Native American Rehabilitation Association of the Northwest, Inc.",OR,Healthcare Provider,25187,01/03/2020,Hacking/IT Incident,Email,No
Douglas County Hospital dba Alomere Health,MN,Healthcare Provider,49859,01/03/2020,Hacking/IT Incident,Email,No
Lawrenceville Internal Medicine Associates,NJ,Healthcare Provider,8031,01/02/2020,Unauthorized Access/Disclosure,Email,No
"SEES Group, LLC",TN,Healthcare Provider,13000,12/31/2019,Hacking/IT Incident,Email,No
"Life Line Screening of America, Ltd.",TX,Healthcare Provider,2802,12/30/2019,Hacking/IT Incident,Network Server,Yes
"The Center for Facial Restoration, Inc.",FL,Healthcare Provider,3600,12/26/2019,Hacking/IT Incident,Network Server,No
Ann & Robert H. Lurie Children's Hospital of Chicago,IL,Healthcare Provider,4195,12/26/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
btyDENTAL,AK,Healthcare Provider,2008,12/26/2019,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No
"Baylor Miraca Genetics Laboratories, LLC d/b/a Baylor Genetics",TX,Business Associate,1240,12/24/2019,Hacking/IT Incident,Email,Yes
"PediHealth, PLLC, dba Children's Choice Pediatrics",TX,Healthcare Provider,12689,12/20/2019,Hacking/IT Incident,Network Server,No
Roosevelt General Hospital,NM,Healthcare Provider,28847,12/19/2019,Hacking/IT Incident,Network Server,No
"Texas Family Psychology Associates, P.C. dba Compass Psychological Associates",TX,Healthcare Provider,12000,12/17/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
San Francisco Department of Public Health - Zuckerberg SF General Hospital,CA,Healthcare Provider,1174,12/16/2019,Improper Disposal,Paper/Films,No
AFLAC,GA,Health Plan,1601,12/16/2019,Unauthorized Access/Disclosure,Network Server,No
Texas Children's Hospital,TX,Healthcare Provider,597,12/16/2019,Unauthorized Access/Disclosure,Paper/Films,No
North Ottawa Community Health System,MI,Healthcare Provider,4013,12/16/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"INTEGRIS Health, Inc.",OK,Healthcare Provider,1245218,12/16/2019,Loss,Other Portable Electronic Device,No
Colorado Department of Human Services,CO,Healthcare Provider,12230,12/16/2019,Unauthorized Access/Disclosure,Other,No
Western Health Advantage,CA,Health Plan,869,12/13/2019,Unauthorized Access/Disclosure,Network Server,Yes
"Vimly Benefit Solutions, Inc.",WA,Business Associate,2675,12/13/2019,Hacking/IT Incident,Email,Yes
Sinai Health System,IL,Healthcare Provider,12578,12/13/2019,Hacking/IT Incident,Email,No
Prestige Health Choice,FL,Health Plan,4665,12/13/2019,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Therapeutic Oasis of the Palm Beaches LLC,FL,Healthcare Provider,1100,12/13/2019,Theft,Desktop Computer,No
"Marion Eye Center, LTD.",IL,Healthcare Provider,811,12/13/2019,Loss,Paper/Films,No
Aetna affiliated covered entity (ACE),CT,Health Plan,5991,12/13/2019,Hacking/IT Incident,Email,Yes
Service Benefit Plan Administrative Services Corporation,DC,Business Associate,11536,12/12/2019,Unauthorized Access/Disclosure,Network Server,Yes
Jewish Social Services Agency,MD,Healthcare Provider,3145,12/12/2019,Hacking/IT Incident,Email,No
Cheyenne Regional Medical Center,WY,Healthcare Provider,17549,12/10/2019,Hacking/IT Incident,Email,No
Starmount Life Insurance Company,LA,Health Plan,630,12/09/2019,Hacking/IT Incident,Email,No
Anwan Wellness LLC,GA,Healthcare Provider,530,12/09/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Family Care Medical Specialists Group, Inc.",CA,Healthcare Provider,2490,12/08/2019,Unauthorized Access/Disclosure,Paper/Films,No
Adventist Health Simi Valley,CA,Healthcare Provider,54708,12/06/2019,Hacking/IT Incident,Email,No
Children’s Hope Alliance,NC,Healthcare Provider,1002,12/06/2019,Theft,Laptop,No
Beech Brook,OH,Healthcare Provider,2636,12/06/2019,Hacking/IT Incident,Email,No
"Speight Family Medical, LLC",TN,Healthcare Provider,2000,12/06/2019,Hacking/IT Incident,Network Server,No
"Equinox, Inc.",NY,Healthcare Provider,1021,12/06/2019,Hacking/IT Incident,Email,No
"Truman Medical Center, Incorporated",MO,Healthcare Provider,114466,12/05/2019,Theft,Laptop,No
Conway Medical Center,SC,Healthcare Provider,2550,12/05/2019,Hacking/IT Incident,"Electronic Medical Record, Email",No
Sunrise Community Health,CO,Healthcare Provider,18404,12/05/2019,Hacking/IT Incident,Email,No
Children's Hope Alliance,NC,Business Associate,4564,12/03/2019,Hacking/IT Incident,Email,Yes
Walgreen Company,IL,Healthcare Provider,3700,12/03/2019,Hacking/IT Incident,"Electronic Medical Record, Other",No
Healthcare Administrative Partners,PA,Business Associate,17693,12/03/2019,Hacking/IT Incident,Email,Yes
"Sunshine Behavioral Health Group, LLC",CA,Business Associate,3638,12/02/2019,Unauthorized Access/Disclosure,Network Server,Yes
RiverKids Pediatric Home Health,TX,Healthcare Provider,10000,12/02/2019,Hacking/IT Incident,Email,No
Katherine Shaw Bethea Hospital,IL,Healthcare Provider,3983,11/30/2019,Hacking/IT Incident,Email,No
San Francisco VA Health Care System,CA,Healthcare Provider,735,11/29/2019,Theft,"Other, Paper/Films",No
Beer Industry - Local Union No. 703 Health and Welfare Fund,IL,Health Plan,9279,11/28/2019,Unauthorized Access/Disclosure,Email,No
"Loudoun Medical Group d/b/a Comprehensive Sleep Care Center (""CSCC"")",VA,Healthcare Provider,15575,11/27/2019,Hacking/IT Incident,Email,No
Nebraska Medicine,NE,Healthcare Provider,1149,11/27/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Ivy Rehab Network, Inc. and its affiliated companies",NY,Healthcare Provider,125000,11/26/2019,Hacking/IT Incident,Email,No
"Illinois Gastroenterology Group, LLC",IL,Healthcare Provider,1481,11/25/2019,Hacking/IT Incident,Email,No
Penn-Mar Human Services,MD,Healthcare Provider,536,11/25/2019,Hacking/IT Incident,Email,No
Upper Peninsula Health Plan,MI,Health Plan,812,11/25/2019,Hacking/IT Incident,Email,Yes
"La Clinica de La Raza, Inc.",CA,Healthcare Provider,2477,11/22/2019,Theft,Other Portable Electronic Device,No
Elizabeth Family Health,CO,Healthcare Provider,28375,11/22/2019,Theft,Paper/Films,No
"GeneDx, Inc.",NJ,Healthcare Provider,851,11/22/2019,Hacking/IT Incident,Network Server,Yes
Southeastern Minnesota Oral & Maxillofacial Surgery,MN,Healthcare Provider,80000,11/22/2019,Hacking/IT Incident,Network Server,No
"OmniSeq, Inc.",NY,Healthcare Provider,3977,11/21/2019,Hacking/IT Incident,Email,No
"Ronald E. Rosenbaum DMD, PA",FL,Healthcare Provider,1522,11/21/2019,Hacking/IT Incident,Paper/Films,No
VA St. Louis Health Care System,MO,Healthcare Provider,595,11/21/2019,Unauthorized Access/Disclosure,Paper/Films,No
Saint Francis Medical Center,MO,Healthcare Provider,107054,11/20/2019,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
"Human Services, Inc.",PA,Healthcare Provider,1559,11/18/2019,Hacking/IT Incident,Email,No
"Medical Park Family Care, Inc.",AK,Healthcare Provider,500,11/18/2019,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
Choice Cancer Care,TX,Healthcare Provider,14673,11/15/2019,Hacking/IT Incident,Email,No
Ascension Borgess Hospital,MI,Healthcare Provider,996,11/14/2019,Unauthorized Access/Disclosure,Email,No
Gateway Health Plan LP,PA,Health Plan,753,11/14/2019,Hacking/IT Incident,Email,Yes
"Solara Medical Supplies, LLC",CA,Healthcare Provider,114007,11/13/2019,Hacking/IT Incident,Email,No
Select Health Network,IN,Business Associate,3582,11/13/2019,Hacking/IT Incident,Email,Yes
SALIH M MAYALIDAG DENTAL CORP,CA,Healthcare Provider,6000,11/12/2019,Hacking/IT Incident,Network Server,No
University of North Carolina at Chapel Hill School of Medicine,NC,Healthcare Provider,3716,11/12/2019,Hacking/IT Incident,Email,No
"Starling Physicians, P.C.",CT,Healthcare Provider,977,11/11/2019,Hacking/IT Incident,Email,No
"Arizona Dental Insurance Services, Inc. d.b.a. Delta Dental of Arizona",AZ,Health Plan,24769,11/08/2019,Hacking/IT Incident,Email,No
Main Street Clinical Associates,NC,Healthcare Provider,3031,11/08/2019,Unauthorized Access/Disclosure,"Laptop, Other Portable Electronic Device, Paper/Films",No
Outreach Health Services,TX,Healthcare Provider,60414,11/08/2019,Hacking/IT Incident,Email,No
Kaiser Foundation Health Plan (Kaiser Permanente),CA,Health Plan,515,11/07/2019,Unauthorized Access/Disclosure,Paper/Films,No
Aegis Medical Group,FL,Healthcare Provider,9800,11/07/2019,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Network Server, Paper/Films",No
The Brooklyn Hospital Center,NY,Healthcare Provider,26312,11/01/2019,Hacking/IT Incident,Network Server,No
Washington University School of Medicine,MO,Healthcare Provider,3237,11/01/2019,Unauthorized Access/Disclosure,"Email, Laptop",No
Evergreen Psychological Services,TX,Healthcare Provider,4174,11/01/2019,Theft,Desktop Computer,No
Utah Valley Eye Center,UT,Healthcare Provider,20418,11/01/2019,Hacking/IT Incident,Desktop Computer,No
Prisma Health - Midlands,SC,Healthcare Provider,19060,10/28/2019,Hacking/IT Incident,Other,No
The Guidance Center,CA,Healthcare Provider,1189,10/28/2019,Hacking/IT Incident,Email,No
Children's Minnesota,MN,Healthcare Provider,37942,10/25/2019,Unauthorized Access/Disclosure,Network Server,No
Delta Dental of Illinois,IL,Health Plan,15466,10/25/2019,Hacking/IT Incident,Email,No
Virginia Department of Behavioral Health & Developmental Services,VA,Healthcare Provider,1442,10/25/2019,Unauthorized Access/Disclosure,Network Server,No
Betty Jean Kerr People's Health Centers,MO,Healthcare Provider,152000,10/25/2019,Hacking/IT Incident,Network Server,No
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,4812,10/25/2019,Loss,Paper/Films,Yes
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,2752,10/25/2019,Loss,Paper/Films,No
Corpus Christi Tots & Teens Pediatrics,TX,Healthcare Provider,31787,10/24/2019,Hacking/IT Incident,Network Server,No
The Affiliated Sante Group,MD,Healthcare Provider,679,10/24/2019,Theft,Laptop,No
Wheatland Dental Care,IL,Business Associate,955,10/24/2019,Hacking/IT Incident,Other,Yes
"Greater Cincinnati Pathologists, Inc.",OH,Healthcare Provider,7725,10/23/2019,Hacking/IT Incident,Email,No
Kalispell Regional Healthcare,MT,Healthcare Provider,149661,10/22/2019,Hacking/IT Incident,Email,No
Texas Health Harris Methodist Hospital Hurst-Euless-Bedford,TX,Healthcare Provider,4804,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Dallas,TX,Healthcare Provider,12415,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Alliance,TX,Healthcare Provider,3784,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Denton,TX,Healthcare Provider,6688,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Azle,TX,Healthcare Provider,2113,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Cleburne,TX,Healthcare Provider,2737,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Southwest Fort Worth,TX,Healthcare Provider,7478,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Rockwall,TX,Healthcare Provider,4789,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Stephenville,TX,Healthcare Provider,1348,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Southlake,TX,Healthcare Provider,525,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Arlington Memorial,TX,Healthcare Provider,6187,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Plano,TX,Healthcare Provider,9678,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Kaufman,TX,Healthcare Provider,2157,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Fort Worth,TX,Healthcare Provider,14881,10/22/2019,Unauthorized Access/Disclosure,Other,No
Texas Health Presbyterian Hospital Allen,TX,Healthcare Provider,2993,10/22/2019,Unauthorized Access/Disclosure,Other,No
Self Regional Healthcare,SC,Healthcare Provider,52327,10/21/2019,Hacking/IT Incident,Email,No
"United States Medical Supply, LLC.",FL,Healthcare Provider,674,10/18/2019,Unauthorized Access/Disclosure,Email,No
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,584,10/18/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
Chronic Care Management Inc.,OH,Business Associate,612,10/17/2019,Unauthorized Access/Disclosure,Email,Yes
"Buckhead Smile Center, P.C.",GA,Healthcare Provider,1655,10/17/2019,Unauthorized Access/Disclosure,Email,No
Artesia General Hospital,NM,Healthcare Provider,858,10/17/2019,Hacking/IT Incident,Desktop Computer,No
Walmart Inc.,AR,Healthcare Provider,4211,10/17/2019,Loss,Other Portable Electronic Device,No
Seattle Cancer Care Alliance,WA,Healthcare Provider,944,10/16/2019,Unauthorized Access/Disclosure,Email,No
LaBorde Therapy Center LLC,LA,Healthcare Provider,7000,10/16/2019,Hacking/IT Incident,Email,No
"Hamlin & Burton Liability Management, Inc.",FL,Business Associate,1500,10/14/2019,Hacking/IT Incident,Email,Yes
Southern New Mexico Neurosurgery LLC,NM,Healthcare Provider,11754,10/14/2019,Improper Disposal,"Electronic Medical Record, Network Server",No
Monterey Health Center,OR,Healthcare Provider,5400,10/11/2019,Hacking/IT Incident,Network Server,No
Central Valley Regional Center,CA,Business Associate,15975,10/11/2019,Hacking/IT Incident,Email,Yes
"Abdul Memon, MD PLLC",AZ,Business Associate,1000,10/11/2019,Theft,Laptop,Yes
Magnolia Pediatrics,LA,Healthcare Provider,11100,10/09/2019,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No
South Texas Dermatopathology Laboratory,TX,Healthcare Provider,15982,10/07/2019,Hacking/IT Incident,Network Server,No
Arkansas Health Group,AR,Healthcare Provider,903,10/07/2019,Unauthorized Access/Disclosure,Other,Yes
"Euphemia R. Brumskine, MD, LLC",MD,Healthcare Provider,850,10/04/2019,Hacking/IT Incident,Laptop,No
"The Methodist Hospitals, Inc.",IN,Healthcare Provider,68039,10/04/2019,Hacking/IT Incident,Email,No
Gary Smith and assoc inc DBA gary smith agency,MS,Health Plan,2000,10/04/2019,Unauthorized Access/Disclosure,Other,No
Defense Health Headquarters,VA,Health Plan,3500,10/04/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
San Francisco Department of Public Health,CA,Healthcare Provider,622,10/03/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
University of Alabama at Birmingham,AL,Healthcare Provider,19557,10/03/2019,Hacking/IT Incident,Email,No
Humana Inc,KY,Health Plan,756,10/02/2019,Unauthorized Access/Disclosure,Email,No
Sioux Falls VA Health Care System,SD,Healthcare Provider,564,10/01/2019,Unauthorized Access/Disclosure,Paper/Films,No
Telecare Corporation,CA,Healthcare Provider,823,09/30/2019,Hacking/IT Incident,Email,No
Goshen Health,IN,Healthcare Provider,9160,09/30/2019,Hacking/IT Incident,Email,No
CHI Health Orthopedics Clinic -Lakeside,NE,Healthcare Provider,48000,09/30/2019,Hacking/IT Incident,Electronic Medical Record,No
Choctaw Nation Health Service Authority,OK,Healthcare Provider,500,09/27/2019,Hacking/IT Incident,Email,No
Beatitudes Campus,AZ,Healthcare Provider,514,09/27/2019,Hacking/IT Incident,Email,No
Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,3290,09/27/2019,Hacking/IT Incident,Email,No
Calibre CPA Group,MD,Business Associate,912,09/27/2019,Hacking/IT Incident,"Email, Network Server",Yes
Kaiser Permanente,CA,Healthcare Provider,990,09/26/2019,Hacking/IT Incident,Email,No
"Women's Care Florida, LLC",FL,Healthcare Provider,527310,09/25/2019,Hacking/IT Incident,Network Server,No
"Perfect Teeth Yale, P.C.",CO,Healthcare Provider,15000,09/19/2019,Loss,Other Portable Electronic Device,No
Chirobody,WA,Healthcare Provider,525,09/19/2019,Unauthorized Access/Disclosure,Desktop Computer,No
Premier Gastroenterology Specialists,OH,Healthcare Provider,1260,09/18/2019,Unauthorized Access/Disclosure,Paper/Films,No
Wood Ranch Medical,CA,Healthcare Provider,5835,09/18/2019,Hacking/IT Incident,Network Server,No
"Little Rock Plastic Surgery, P.A.",AR,Healthcare Provider,6300,09/18/2019,Unauthorized Access/Disclosure,Email,No
"Medico of South Carolina, Inc.",SC,Business Associate,6489,09/17/2019,Unauthorized Access/Disclosure,Network Server,Yes
Magellan Healthcare,MD,Business Associate,55637,09/17/2019,Hacking/IT Incident,Email,Yes
National Imaging Associates,MD,Business Associate,589,09/17/2019,Hacking/IT Incident,Email,Yes
Intramural Practice Plan - Medical Sciences Campus - University of Puerto Rico,NA,Healthcare Provider,439753,09/16/2019,Hacking/IT Incident,Network Server,No
"Paragon Health, P.C.",MI,Healthcare Provider,4674,09/16/2019,Hacking/IT Incident,Email,No
Bates Technical College,WA,Healthcare Provider,2112,09/13/2019,Hacking/IT Incident,Network Server,No
Sweetser,ME,Healthcare Provider,22000,09/13/2019,Hacking/IT Incident,Email,No
Kilgore Vision Center,AR,Healthcare Provider,46353,09/13/2019,Hacking/IT Incident,Network Server,No
"Rocky Mountain Health Maintenance Organization, Inc.",CO,Health Plan,1835,09/12/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
Peoples Injury Network Northwest,WA,Healthcare Provider,27000,09/12/2019,Hacking/IT Incident,Network Server,No
Sarrell Dental,AL,Healthcare Provider,363617,09/12/2019,Hacking/IT Incident,Network Server,No
Pima County,AZ,Health Plan,1498,09/12/2019,Hacking/IT Incident,Email,Yes
June E. Nylen Cancer Center,IA,Healthcare Provider,927,09/11/2019,Hacking/IT Incident,Email,No
Cristo Rey Community Center - Family Health Center,MI,Healthcare Provider,1500,09/10/2019,Hacking/IT Incident,Network Server,No
Lindner Center of Hope,OH,Healthcare Provider,3537,09/09/2019,Hacking/IT Incident,Email,No
Berry Family Services,TX,Healthcare Provider,1751,09/08/2019,Hacking/IT Incident,Network Server,No
Premier Family Medical,UT,Healthcare Provider,320000,09/07/2019,Hacking/IT Incident,Network Server,No
Prisma - Midlands,SC,Healthcare Provider,2770,09/06/2019,Theft,Paper/Films,No
Shore Specialty Consultants Pulmonology Group,NJ,Healthcare Provider,9700,09/06/2019,Hacking/IT Incident,"Desktop Computer, Network Server",No
Alive Hospice,TN,Healthcare Provider,533,09/06/2019,Unauthorized Access/Disclosure,Paper/Films,No
Simmons Family Chiropractic,GA,Healthcare Provider,2000,09/06/2019,Theft,"Laptop, Other Portable Electronic Device",No
Health Care Service Corporation,IL,Health Plan,998,09/06/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
Rural Health Access Corporation dba Coalfield Health Center,WV,Healthcare Provider,874,09/06/2019,Unauthorized Access/Disclosure,Email,Yes
UC Health,OH,Healthcare Provider,95339,09/04/2019,Hacking/IT Incident,Email,No
East Central Indiana School Trust,IN,Health Plan,3259,09/03/2019,Hacking/IT Incident,Email,No
Fraser,MN,Healthcare Provider,2890,08/30/2019,Hacking/IT Incident,Email,No
"Fedcap Rehabilitation Services, Inc.",NY,Healthcare Provider,2158,08/29/2019,Hacking/IT Incident,Email,No
Source 1 Healthcare Solutions LLC,PA,Business Associate,15450,08/29/2019,Hacking/IT Incident,Email,Yes
Artesia General Hospital,NM,Healthcare Provider,13905,08/27/2019,Hacking/IT Incident,Email,No
Employers and Laborers Locals 100 and 397 Health & Welfare Fund,MO,Health Plan,560,08/26/2019,Hacking/IT Incident,Email,Yes
Lyons Companies,PA,Business Associate,1982,08/23/2019,Hacking/IT Incident,Email,Yes
The Cardiovascular Group,GA,Healthcare Provider,2168,08/23/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
Choctaw Nation Health Services Authority,OK,Healthcare Provider,550,08/23/2019,Hacking/IT Incident,Email,No
Conway Regional Health System,AR,Healthcare Provider,37000,08/23/2019,Hacking/IT Incident,Email,No
"Navicent Health, Inc.",GA,Healthcare Provider,634,08/23/2019,Hacking/IT Incident,Email,No
The Carle Foundation Hospital,IL,Healthcare Provider,1653,08/22/2019,Hacking/IT Incident,Email,No
"NorthStar Anesthesia, P.A.",TX,Healthcare Provider,19807,08/22/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
Massachusetts General Hospital,MA,Healthcare Provider,9900,08/22/2019,Hacking/IT Incident,Network Server,No
Regence BlueShield Washington,OR,Business Associate,684,08/21/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
Wilson County Memorial Hospital District dba Connally Memorial Medical Center,TX,Healthcare Provider,7358,08/19/2019,Theft,Laptop,Yes
Western Connecticut Health Network,CT,Healthcare Provider,1293,08/19/2019,Unauthorized Access/Disclosure,Paper/Films,No
Cleveland Clinic Foundation,OH,Healthcare Provider,604,08/19/2019,Loss,Other Portable Electronic Device,No
Virginia Gay Hospital,IA,Healthcare Provider,5030,08/16/2019,Hacking/IT Incident,Email,No
Hospice of San Joaquin,CA,Healthcare Provider,13000,08/16/2019,Hacking/IT Incident,Network Server,No
"Rhode Island Ear, Nose and Throat Physicians, Inc.",RI,Healthcare Provider,2943,08/16/2019,Hacking/IT Incident,Network Server,No
University of Michigan/Michigan Medicine,MI,Healthcare Provider,5466,08/16/2019,Hacking/IT Incident,Email,No
Community Psychiatric Clinic,WA,Healthcare Provider,5866,08/15/2019,Hacking/IT Incident,Email,No
Community Psychiatric Clinic,WA,Healthcare Provider,6641,08/15/2019,Hacking/IT Incident,Email,No
Community Psychiatric Clinic,WA,Healthcare Provider,3030,08/15/2019,Hacking/IT Incident,Email,No
Fairfield Medical Center,OH,Healthcare Provider,1182,08/15/2019,Unauthorized Access/Disclosure,Paper/Films,No
Fairfield Medical Center,OH,Healthcare Provider,1182,08/15/2019,Unauthorized Access/Disclosure,Paper/Films,No
Bayview Dental,MN,Healthcare Provider,1938,08/13/2019,Hacking/IT Incident,Network Server,No
Grays Harbor Community Hospital,WA,Healthcare Provider,88399,08/12/2019,Hacking/IT Incident,"Electronic Medical Record, Network Server, Other",No
Quorum Health,TN,Healthcare Provider,1269,08/11/2019,Unauthorized Access/Disclosure,Email,No
"Primary Medicine of Sherman, PA/Robert J. Hernandez MD",TX,Healthcare Provider,1335,08/11/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Harbor Health Services, Inc.",MA,Healthcare Provider,17380,08/09/2019,Hacking/IT Incident,Email,No
Renown Health,NV,Healthcare Provider,27004,08/09/2019,Loss,Other Portable Electronic Device,No
Mid-Valley Behavioral Care Network,OR,Business Associate,10710,08/09/2019,Hacking/IT Incident,Email,Yes
Walmart Inc.,AR,Healthcare Provider,4738,08/09/2019,Loss,Paper/Films,No
"Timothee T. Wilkin, D.O.",AR,Healthcare Provider,15113,08/09/2019,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Cancer Center of Kansas,KS,Healthcare Provider,773,08/09/2019,Hacking/IT Incident,Network Server,No
Enlightened Solutions LLC,NJ,Healthcare Provider,844,08/09/2019,Hacking/IT Incident,Email,No
"IlliniCare Health Plan, Inc.",IL,Health Plan,3517,08/09/2019,Unauthorized Access/Disclosure,"Desktop Computer, Other",No
Fire Department City of New York,NY,Healthcare Provider,10292,08/09/2019,Theft,Other Portable Electronic Device,No
Wisconsin Department of Corrections,WI,Healthcare Provider,1041,08/08/2019,Unauthorized Access/Disclosure,Email,No
"Community Health Choice, Inc.",TX,Health Plan,7855,08/08/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
"Michael Amaro, MD, PA",TX,Healthcare Provider,500,08/08/2019,Unauthorized Access/Disclosure,"Electronic Medical Record, Other, Paper/Films",No
Drexel Medicine,PA,Healthcare Provider,4340,08/07/2019,Hacking/IT Incident,Email,No
West Hills Hospital & Medical Center,CA,Healthcare Provider,10650,08/06/2019,Hacking/IT Incident,Network Server,Yes
"One Care Medical, LLC",VA,Healthcare Provider,651,08/06/2019,Hacking/IT Incident,Network Server,No
"Integrated Regional Laboratories, LLC",FL,Healthcare Provider,29644,08/05/2019,Hacking/IT Incident,Network Server,Yes
Wisconsin Diagnostic Laboratories,WI,Healthcare Provider,68212,08/02/2019,Hacking/IT Incident,Network Server,Yes
University of Missouri Health Care,MO,Healthcare Provider,14402,08/02/2019,Hacking/IT Incident,Email,No
Mount Sinai Hospital,NY,Healthcare Provider,33730,08/02/2019,Hacking/IT Incident,Other,Yes
Presbyterian Healthcare Services,NM,Healthcare Provider,1120629,08/02/2019,Hacking/IT Incident,Email,No
BioReference Laboratories Inc.,NJ,Healthcare Provider,425749,07/30/2019,Hacking/IT Incident,Other,Yes
"CompuNet Clinical Laboratories, LLC",OH,Healthcare Provider,111555,07/26/2019,Hacking/IT Incident,Other,Yes
Walmart Inc.,AR,Healthcare Provider,3135,07/26/2019,Loss,Paper/Films,No
Fordland Clinic Inc.,MO,Healthcare Provider,881,07/26/2019,Hacking/IT Incident,Email,No
