"","entity","state","type","affected","date","incident","location","business_associate"
"87","Saint Anthony Health Ministries","IL","Healthcare Provider",500,"01/30/2024","Hacking/IT Incident","Network Server","No"
"88","Bay Area Heart Center, PA","FL","Healthcare Provider",11709,"01/30/2024","Hacking/IT Incident","Network Server","Yes"
"89","Veterans Health Administration","DC","Healthcare Provider",46677,"01/30/2024","Unauthorized Access/Disclosure","Paper/Films","No"
"90","OrthoArkansas, PA Employee Benefit Plan","AR","Health Plan",1270,"01/29/2024","Hacking/IT Incident","Network Server","Yes"
"91","Sun Pain Management, LLC","AZ","Healthcare Provider",2988,"01/27/2024","Hacking/IT Incident","Network Server","No"
"92","CNO ACE","IN","Health Plan",65295,"01/26/2024","Hacking/IT Incident","Network Server","No"
"93","Kern Regional Center","CA","Healthcare Provider",700,"01/26/2024","Unauthorized Access/Disclosure","Email","No"
"94","Artesia General Hospital","NM","Healthcare Provider",1985,"01/26/2024","Unauthorized Access/Disclosure","Paper/Films","No"
"95","INTEGRIS Health","OK","Healthcare Provider",2385646,"01/26/2024","Hacking/IT Incident","Network Server","No"
"96","Nabholz Construction Company Employee Welfare Health Plan","AR","Health Plan",5326,"01/26/2024","Hacking/IT Incident","Network Server","Yes"
"97","United Regional Health Care System","TX","Healthcare Provider",36900,"01/26/2024","Hacking/IT Incident","Other","Yes"
"98","Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (“Marywood”)","MI","Healthcare Provider",6178,"01/24/2024","Hacking/IT Incident","Network Server","No"
"99","FedEx Corporation Group Health Plan","TN","Health Plan",553,"01/24/2024","Hacking/IT Incident","Network Server","Yes"
"100","Webber Chiropractic Sports Clinic, Inc.","WA","Healthcare Provider",1695,"01/23/2024","Hacking/IT Incident","Network Server","No"
"101","Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC","FL","Healthcare Provider",31189,"12/22/2023","Hacking/IT Incident","Network Server","No"
"102","Clay County Social Services","MN","Business Associate",22005,"12/22/2023","Hacking/IT Incident","Network Server","Yes"
"103","Retina Group of Washington, PLLC","MD","Healthcare Provider",455935,"12/22/2023","Hacking/IT Incident","Network Server","No"
"104","AccessDx Laboratory, LLC","TX","Healthcare Provider",535,"12/21/2023","Hacking/IT Incident","Email","No"
"105","360 Physical Therapy, LLC","ND","Healthcare Provider",520,"12/21/2023","Theft","Paper/Films","Yes"
"106","Rush System for Health","IL","Healthcare Provider",4961,"12/21/2023","Unauthorized Access/Disclosure","Email","No"
"107","BlueCross BlueShield of Tennessee, Inc.","TN","Health Plan",1665,"12/19/2023","Hacking/IT Incident","Network Server","Yes"
"108","BELLIN HEALTH","WI","Healthcare Provider",20790,"12/19/2023","Hacking/IT Incident","Network Server","No"
"109","ZOLL Medical Corporation","MA","Health Plan",8898,"12/18/2023","Hacking/IT Incident","Email","No"
"110","Primary Health & Wellness Center, LLC","MD","Healthcare Provider",4792,"12/17/2023","Hacking/IT Incident","Network Server","No"
"111","Erie Family Health Center, Inc. d/b/a Erie Family Health Centers","IL","Healthcare Provider",6351,"12/16/2023","Hacking/IT Incident","Email","No"
"112","AccessOne Medcard, Inc.","SC","Business Associate",8049,"12/15/2023","Hacking/IT Incident","Network Server","Yes"
"113","Discount Emporium, Inc. d/b/a Drug Emporium","WV","Healthcare Provider",2500,"12/14/2023","Hacking/IT Incident","Other","Yes"
"114","Independent Vision Group, LTD","WI","Healthcare Provider",2931,"12/13/2023","Hacking/IT Incident","Email","No"
"115","City of Hope","CA","Healthcare Provider",501,"12/12/2023","Hacking/IT Incident","Network Server","No"
"116","Health Diagnostic Management, LLC","NY","Business Associate",1863,"12/12/2023","Hacking/IT Incident","Network Server","Yes"
"117","Cardiothoracic and Vascular Surgeons, P.A.","TX","Healthcare Provider",500,"12/12/2023","Hacking/IT Incident","Network Server","No"
"118","Heart of Texas Behavioral Health Network","TX","Healthcare Provider",63776,"12/12/2023","Hacking/IT Incident","Network Server","No"
"119","Yorkshire Wellness Group, Corp.","NM","Healthcare Provider",1000,"12/12/2023","Unauthorized Access/Disclosure","Paper/Films","No"
"120","Keenan & Associates","CA","Health Plan",4631,"12/11/2023","Hacking/IT Incident","Network Server","No"
"121","New Partners, Inc. d/b/a VNS Health Personal Care","NY","Healthcare Provider",5175,"12/08/2023","Hacking/IT Incident","Email","No"
"122","VNS CHOICE d/b/a VNS Health Health Plans","NY","Health Plan",13584,"12/08/2023","Hacking/IT Incident","Email","No"
"123","United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan",4264,"12/08/2023","Hacking/IT Incident","Email","No"
"124","Mercy Medical Center","IA","Healthcare Provider",97132,"12/08/2023","Hacking/IT Incident","Network Server","Yes"
