"","entity","state","type","affected","date","incident","location","business_associate"
"2654","University of Missouri Health Care","MO","Healthcare Provider",5074,"06/11/2020","Hacking/IT Incident","Email","No"
"2655","Rangely District Hospital","CO","Healthcare Provider",6339,"06/08/2020","Hacking/IT Incident","Electronic Medical Record","No"
"2656","University of Utah","UT","Healthcare Provider",1909,"06/08/2020","Hacking/IT Incident","Email","No"
"2657","Danube River Holdings LLC dba RiverPointe Post Acute","CA","Healthcare Provider",633,"06/07/2020","Loss","Other Portable Electronic Device","No"
"2658","Yale New Haven Health Services","CT","Healthcare Provider",506,"06/05/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2659","Kentuckiana Regional Planning and Development Agency","KY","Healthcare Provider",3663,"06/05/2020","Hacking/IT Incident","Desktop Computer","No"
"2660","Andrew Dang, DDS","CA","Healthcare Provider",974,"06/04/2020","Theft","Desktop Computer","No"
"2661","JDA eHealth Systems, Inc.","IL","Business Associate",917,"06/02/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2662","Allergy & Asthma Medical Group of the Bay Area, Inc.","CA","Healthcare Provider",1894,"06/02/2020","Theft","Laptop","No"
"2663","City of Philadelphia","PA","Health Plan",233543,"06/01/2020","Hacking/IT Incident","Email","No"
"2664","Rochester Regional Health","NY","Healthcare Provider",1945,"06/01/2020","Hacking/IT Incident","Email","No"
"2665","HEALTHY CONNECTIONS INC","AR","Healthcare Provider",3565,"06/01/2020","Unauthorized Access/Disclosure","Email","No"
"2666","Sanitas Dental Management","FL","Healthcare Provider",1310,"05/29/2020","Loss","Network Server","No"
"2667","Hanger Prosthetics & Orthotics, Inc. d/b/a Hanger Clinic","TX","Healthcare Provider",6033,"05/29/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2668","Ridgeview Institute - Monroe","GA","Healthcare Provider",1853,"05/29/2020","Unauthorized Access/Disclosure","Email","No"
"2669","Catholic Charities Diocese of San Diego","CA","Business Associate",36205,"05/29/2020","Hacking/IT Incident","Network Server","Yes"
"2670","Michiana Hematology Oncology, PC","IN","Healthcare Provider",500,"05/29/2020","Improper Disposal","Paper/Films","Yes"
"2671","South Bend Medical Foundation, Inc.","IN","Healthcare Provider",500,"05/28/2020","Improper Disposal","Paper/Films","Yes"
"2672","Beacon Health systems, Inc.","IN","Healthcare Provider",900,"05/28/2020","Improper Disposal","Paper/Films","Yes"
"2673","Allied Physicians of Michiana, LLC","IN","Healthcare Provider",976,"05/28/2020","Improper Disposal","Paper/Films","Yes"
"2674","Saint Joseph Regional Medical Center, Inc.","IN","Healthcare Provider",1000,"05/28/2020","Improper Disposal","Paper/Films","Yes"
"2675","New Avenues, Inc.","IN","Healthcare Provider",1000,"05/28/2020","Improper Disposal","Paper/Films","Yes"
"2676","Elkhart Emergency Physicians, Inc .","IN","Healthcare Provider",550000,"05/28/2020","Improper Disposal","Paper/Films","Yes"
"2677","Renee Applebaum Phd Pc","MI","Healthcare Provider",3800,"05/24/2020","Hacking/IT Incident","Network Server","Yes"
"2678","Mediclaim, LLC","MI","Business Associate",14931,"05/22/2020","Hacking/IT Incident","Network Server","Yes"
"2679","Kaiser Foundation Health Plan of the Mid-Atlantic States","MD","Health Plan",2756,"05/22/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2680","Everett & Hurite Ophthalmic Association","PA","Healthcare Provider",34113,"05/22/2020","Hacking/IT Incident","Email","No"
"2681","Woodlawn Dental Center","OH","Healthcare Provider",14419,"05/18/2020","Hacking/IT Incident","Network Server","No"
"2682","Geisinger Wyoming Valley Medical Center","PA","Healthcare Provider",805,"05/18/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2683","PsyGenics, Inc.","MI","Business Associate",614,"05/18/2020","Unauthorized Access/Disclosure","Email","Yes"
"2684","Mat-Su Surgical Associates, APC","AK","Healthcare Provider",13146,"05/15/2020","Hacking/IT Incident","Network Server","No"
"2685","Infor-Med Medical Information Systems Inc.","CA","Business Associate",3728,"05/13/2020","Unauthorized Access/Disclosure","Email","Yes"
"2686","Alexander Chun, MD, PLLC","NY","Healthcare Provider",595,"05/12/2020","Improper Disposal","Paper/Films","No"
"2687","Mille Lacs Health System","MN","Healthcare Provider",10630,"05/11/2020","Hacking/IT Incident","Email","No"
"2688","District Medical Group","AZ","Healthcare Provider",10190,"05/08/2020","Hacking/IT Incident","Email","No"
"2689","Santa Rosa & Rohnert Park Oral Surgery","CA","Healthcare Provider",5357,"05/08/2020","Unauthorized Access/Disclosure","Email","No"
"2690","Ashtabula County Medical Center","OH","Healthcare Provider",3683,"05/08/2020","Unauthorized Access/Disclosure","Network Server","No"
"2691","Moorestown Visiting Nurse Association","NJ","Healthcare Provider",26465,"05/07/2020","Hacking/IT Incident","Network Server","No"
"2692","Midmark RTLS Solutions, Inc.","MI","Business Associate",7422,"05/05/2020","Hacking/IT Incident","Other","Yes"
"2693","The Nebraska Medical Center","NE","Healthcare Provider",1311,"05/05/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2694","BJC Health System","MO","Business Associate",287876,"05/05/2020","Hacking/IT Incident","Email","Yes"
"2695","Management and Network Services, LLC","OH","Business Associate",30132,"05/04/2020","Hacking/IT Incident","Email","Yes"
"2696","Ann & Robert H. Lurie Children's Hospital of Chicago","IL","Healthcare Provider",4824,"05/04/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2697","Saint Francis Healthcare Partners","CT","Business Associate",38529,"05/04/2020","Hacking/IT Incident","Email","Yes"
"2698","Lisa Burkett DDS MS","TX","Healthcare Provider",818,"04/30/2020","Unauthorized Access/Disclosure","Email","No"
"2699","Stamford Health","CT","Healthcare Provider",1255,"04/30/2020","Unauthorized Access/Disclosure","Email","No"
"2700","Shands Lake Shore Regional Medical Center","FL","Healthcare Provider",651,"04/27/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2701","Tennova Healthcare Harton","TN","Healthcare Provider",1070,"04/27/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2702","Bayfront Health Port Charlotte","FL","Healthcare Provider",1162,"04/27/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2703","Poplar Bluff Regional Medical Center","MO","Healthcare Provider",1619,"04/27/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2704","Wilkes-Barre General Hospital","PA","Healthcare Provider",518,"04/27/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2705","Moses Taylor Hospital","PA","Healthcare Provider",1905,"04/27/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2706","Meridian Health Services Corp.","IN","Healthcare Provider",111372,"04/27/2020","Hacking/IT Incident","Email","No"
"2707","City of Detroit Health Department","MI","Healthcare Provider",1981,"04/27/2020","Unauthorized Access/Disclosure","Network Server","No"
"2708","Customized Computer Software","TX","Business Associate",500,"04/26/2020","Hacking/IT Incident","Laptop","Yes"
"2709","Daniel Bendetowicz MD PA","FL","Healthcare Provider",3314,"04/24/2020","Hacking/IT Incident","Network Server","No"
"2710","United Cerebral Palsy Heartland","MO","Healthcare Provider",576,"04/24/2020","Hacking/IT Incident","Email","No"
"2711","Ascension Eastwood Clinics","MI","Healthcare Provider",999,"04/23/2020","Unauthorized Access/Disclosure","Email","No"
"2712","Agility Center Orthopedics","AR","Healthcare Provider",13968,"04/22/2020","Hacking/IT Incident","Email","No"
"2713","Psychiatric Associates of North Carolina, Professional Association","NC","Healthcare Provider",1081,"04/20/2020","Unauthorized Access/Disclosure","Email","No"
"2714","Hebrew Home of Greater Washington","MD","Healthcare Provider",5693,"04/17/2020","Hacking/IT Incident","Email","No"
"2715","Beaumont Health","MI","Healthcare Provider",112211,"04/17/2020","Hacking/IT Incident","Email","No"
"2716","Houston Methodist Hospital","TX","Healthcare Provider",1987,"04/17/2020","Theft","Other Portable Electronic Device","No"
"2717","Good Samaritan Hospital, Inc.","CA","Healthcare Provider",233835,"04/17/2020","Hacking/IT Incident","Email","No"
"2718","John A. Grimaldi DO INC","CA","Healthcare Provider",911,"04/16/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2719","Advocate Aurora Health","WI","Healthcare Provider",27137,"04/16/2020","Hacking/IT Incident","Email","No"
"2720","Medica Insurance Company","MN","Health Plan",802,"04/15/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2721","Medica Health Plans","MN","Health Plan",1710,"04/15/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2722","Hartford HealthCare","CT","Healthcare Provider",2651,"04/13/2020","Hacking/IT Incident","Email","No"
"2723","Doctors Community Medical Center","MD","Healthcare Provider",18481,"04/13/2020","Hacking/IT Incident","Email","No"
"2724","Saint Francis Ministries","KS","Healthcare Provider",3680,"04/10/2020","Hacking/IT Incident","Email","No"
"2725","Arizona Endocrinology Center","AZ","Healthcare Provider",74122,"04/10/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2726","Corpus Christi Rehabilitation Hospital","TX","Healthcare Provider",507,"04/10/2020","Hacking/IT Incident","Email","No"
"2727","Beacon Health Options, Inc.","MA","Business Associate",6723,"04/10/2020","Loss","Other Portable Electronic Device","Yes"
"2728","Rehabilitation Hospital of Southern New Mexico","NM","Healthcare Provider",1843,"04/10/2020","Hacking/IT Incident","Email","No"
"2729","UPMC Altoona Regional Health Services","PA","Healthcare Provider",13911,"04/10/2020","Hacking/IT Incident","Email","No"
"2730","Brandywine Counseling & Community Services, Inc","DE","Healthcare Provider",11852,"04/10/2020","Hacking/IT Incident","Network Server","No"
"2731","EVERSANA","WI","Healthcare Provider",5000,"04/07/2020","Hacking/IT Incident","Email","No"
"2732","Colorado Department of Human Services, Office of Behavioral Health","CO","Healthcare Provider",8132,"04/07/2020","Unauthorized Access/Disclosure","Network Server","No"
"2733","Healthcare Resource Group, Inc.","WA","Business Associate",5387,"04/07/2020","Hacking/IT Incident","Email","Yes"
"2734","Andrews Braces","NV","Healthcare Provider",16622,"04/07/2020","Hacking/IT Incident","Network Server","No"
"2735","Doctors HealthCare Plans, Inc.","FL","Health Plan",500,"04/07/2020","Hacking/IT Incident","Email","No"
"2736","New Jersey Urology, LLC","NJ","Healthcare Provider",3000,"04/06/2020","Hacking/IT Incident","Email","No"
"2737","Child, Family and Community Services, Inc.","CA","Health Plan",1658,"04/03/2020","Theft","Laptop","No"
"2738","University of Utah","UT","Healthcare Provider",5096,"04/03/2020","Hacking/IT Incident","Email","No"
"2739","Confidio, LLC","MD","Business Associate",14016,"03/31/2020","Hacking/IT Incident","Email","Yes"
"2740","Washington University School of Medicine","MO","Healthcare Provider",14795,"03/31/2020","Hacking/IT Incident","Email","No"
"2741","Affordacare Urgent Care Clinics","TX","Healthcare Provider",57411,"03/31/2020","Hacking/IT Incident","Network Server","No"
"2742","University of Minnesota Physicians","MN","Healthcare Provider",683,"03/30/2020","Hacking/IT Incident","Email","No"
"2743","Mid-Delaware Imaging","DE","Healthcare Provider",77110,"03/30/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2744","Brandywine Urology Consultants, PA","DE","Healthcare Provider",131825,"03/27/2020","Hacking/IT Incident","Network Server","No"
"2745","Crossroads Technologies, Inc.","PA","Business Associate",897,"03/27/2020","Hacking/IT Incident","Network Server","Yes"
"2746","Tryon Medical Partners, PLLC","NC","Healthcare Provider",701,"03/27/2020","Unauthorized Access/Disclosure","Email","No"
"2747","Stockdale Radiology","CA","Healthcare Provider",10700,"03/27/2020","Hacking/IT Incident","Desktop Computer","No"
"2748","UHHS Samaritan Medical Center","OH","Healthcare Provider",1520,"03/26/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2749","David S Daley, DMD","AZ","Healthcare Provider",1000,"03/26/2020","Theft","Network Server","No"
"2750","New Jersey Department of Human Services","NJ","Health Plan",2300,"03/25/2020","Hacking/IT Incident","Network Server","No"
"2751","VA Sierra Nevada Health Care System","NV","Healthcare Provider",702,"03/25/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2752","Renew Wellness Center, PLLC","MT","Healthcare Provider",730,"03/23/2020","Theft","Email","No"
"2753","FACKLER FAMILY CHIROPRACTIC, LLC","OH","Healthcare Provider",1731,"03/23/2020","Theft","Paper/Films","No"
"2754","Health Care Service Corporation","IL","Health Plan",574,"03/23/2020","Unauthorized Access/Disclosure","Email","No"
"2755","Ambry Genetics Corporation","CA","Healthcare Provider",225370,"03/22/2020","Hacking/IT Incident","Email","No"
"2756","University of Utah","UT","Healthcare Provider",3670,"03/21/2020","Hacking/IT Incident","Email","No"
"2757","Georgia Department of Human Services","GA","Healthcare Clearing House",500,"03/20/2020","Loss","Paper/Films","No"
"2758","Golden Valley Health Centers","CA","Healthcare Provider",38628,"03/20/2020","Hacking/IT Incident","Email","No"
"2759","Otis R. Bowen Center for Human Services","IN","Healthcare Provider",35804,"03/20/2020","Hacking/IT Incident","Email","No"
"2760","Virginia Department of Behavioral Health and Developmental Services","VA","Healthcare Provider",657,"03/20/2020","Unauthorized Access/Disclosure","Email","No"
"2761","Hawaii Pacific Health","HI","Business Associate",836,"03/19/2020","Loss","Paper/Films","Yes"
"2762","NeoGenomics Laboratories, Inc.","FL","Healthcare Provider",910,"03/18/2020","Unauthorized Access/Disclosure","Email","No"
"2763","Hawaii Pacific Health","HI","Business Associate",3772,"03/17/2020","Unauthorized Access/Disclosure","Electronic Medical Record","Yes"
"2764","Augusta Foot & Ankle, P.C.","GA","Healthcare Provider",4854,"03/17/2020","Hacking/IT Incident","Network Server","No"
"2765","Lifesprk","MN","Healthcare Provider",9000,"03/17/2020","Hacking/IT Incident","Email","No"
"2766","Tandem Diabetes Care, Inc.","CA","Healthcare Provider",140781,"03/17/2020","Hacking/IT Incident","Email","No"
"2767","Lakewood Health System","MN","Healthcare Provider",1415,"03/16/2020","Hacking/IT Incident","Email","No"
"2768","Hao Rong DDS Inc dba Genuine Care Dental","CA","Healthcare Provider",2190,"03/14/2020","Theft","Network Server","No"
"2769","Randleman Eye Center","NC","Healthcare Provider",19556,"03/13/2020","Hacking/IT Incident","Network Server","No"
"2770","Allegheny County, PA","PA","Health Plan",3394,"03/13/2020","Unauthorized Access/Disclosure","Network Server","No"
"2771","TriHealth Cancer Institute","OH","Healthcare Provider",912,"03/13/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2772","Foundation Medicine, Inc.","MA","Healthcare Provider",2999,"03/13/2020","Hacking/IT Incident","Email","No"
"2773","North Texas Institute of Neurology and Headache","TX","Healthcare Provider",500,"03/13/2020","Theft","Laptop","Yes"
"2774","Northeast Radiology","NY","Healthcare Provider",298532,"03/11/2020","Hacking/IT Incident","Network Server","Yes"
"2775","The Prudential Insurance Company of America","NJ","Health Plan",1945,"03/11/2020","Hacking/IT Incident","Network Server","Yes"
"2776","OneDigital Health and Benefits","GA","Business Associate",22894,"03/06/2020","Theft","Laptop","Yes"
"2777","Conagra Brands Welfare Benefit Wrap Plan","IL","Health Plan",1713,"03/06/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2778","Torrance Memorial Medical Center","CA","Healthcare Provider",3498,"03/06/2020","Hacking/IT Incident","Network Server","No"
"2779","Stephan C Dean","CA","Business Associate",70000,"03/04/2020","Hacking/IT Incident","Desktop Computer","Yes"
"2780","Elk Ridge Dentistry","CO","Healthcare Provider",2793,"03/02/2020","Theft","Other Portable Electronic Device","No"
"2781","Alameda Alliance for Health","CA","Health Plan",500,"02/28/2020","Hacking/IT Incident","Network Server","No"
"2782","Walgreen Company","IL","Healthcare Provider",6681,"02/28/2020","Unauthorized Access/Disclosure","Network Server","No"
"2783","Ozark Orthopaedics, PA","AR","Healthcare Provider",15240,"02/28/2020","Hacking/IT Incident","Email","No"
"2784","Riverview Health","IN","Healthcare Provider",2610,"02/28/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2785","Vail Clinic, Inc. dba Vail Health Hospital","CO","Healthcare Provider",710,"02/27/2020","Unauthorized Access/Disclosure","Network Server","No"
"2786","Fairfield Anesthesia Associates LLC","CT","Healthcare Provider",800,"02/27/2020","Unauthorized Access/Disclosure","Desktop Computer","No"
"2787","Harris County Hospital District d/b/a Harris Health System","TX","Healthcare Provider",2298,"02/27/2020","Loss","Paper/Films","No"
"2788","Interactive Medical Systems, Corp.","NC","Business Associate",15010,"02/27/2020","Hacking/IT Incident","Email","Yes"
"2789","Munson Healthcare","MI","Healthcare Provider",75202,"02/26/2020","Hacking/IT Incident","Email","No"
"2790","AFTRA Retirement Fund","NY","Business Associate",57900,"02/25/2020","Hacking/IT Incident","Network Server","Yes"
"2791","Engage Behavioral Health","FL","Healthcare Provider",650,"02/24/2020","Hacking/IT Incident","Email","No"
"2792","Government Employees Health Association, Inc.","MO","Health Plan",696,"02/22/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2793","Rady Children's Hospital San Diego","CA","Healthcare Provider",2360,"02/21/2020","Unauthorized Access/Disclosure","Network Server","No"
"2794","Rainbow Hospice Care, Inc.","WI","Healthcare Provider",2029,"02/21/2020","Hacking/IT Incident","Email","No"
"2795","The Queen’s Health Systems Affiliated Covered Entity","HI","Healthcare Provider",2852,"02/20/2020","Unauthorized Access/Disclosure","Email","No"
"2796","Endeavor Energy Resources, L.P.","TX","Health Plan",5103,"02/20/2020","Hacking/IT Incident","Email","No"
"2797","Lake County Health Department","IL","Healthcare Provider",14488,"02/19/2020","Unauthorized Access/Disclosure","Email","No"
"2798","SOLO Laboratories, Inc.","PA","Business Associate",60000,"02/18/2020","Hacking/IT Incident","Network Server","Yes"
"2799","East House Corporation","NY","Healthcare Provider",1306,"02/17/2020","Hacking/IT Incident","Email","No"
"2800","NCH Healthcare System, Inc.","FL","Healthcare Provider",63581,"02/17/2020","Hacking/IT Incident","Email","No"
"2801","Armada Physical Therapy of Albuquerque, LLC","NM","Healthcare Provider",1850,"02/17/2020","Theft","Desktop Computer","No"
"2802","Monroe County Hospital & Clinics","IA","Healthcare Provider",8487,"02/17/2020","Hacking/IT Incident","Email","No"
"2803","BST & Co. CPAs, LLP","NY","Business Associate",170000,"02/16/2020","Hacking/IT Incident","Network Server","Yes"
"2804","Avalon Health Care Management, Inc.","UT","Business Associate",2717,"02/14/2020","Hacking/IT Incident","Email","Yes"
"2805","United Regional Health Care System","TX","Healthcare Provider",1893,"02/14/2020","Hacking/IT Incident","Email","No"
"2806","Aveanna Healthcare","GA","Healthcare Provider",166077,"02/14/2020","Hacking/IT Incident","Email","No"
"2807","James F. Collette DDS & David N. Hamilton DDS PLLC","WA","Healthcare Provider",544,"02/14/2020","Hacking/IT Incident","Email","No"
"2808","Tennessee Orthopaedic Alliance","TN","Healthcare Provider",81146,"02/14/2020","Hacking/IT Incident","Email","No"
"2809","Peregrine Corporation d/b/a PSL Services","ME","Healthcare Provider",2401,"02/14/2020","Hacking/IT Incident","Email","No"
"2810","Audiology Services Company USA, LLC","FL","Healthcare Provider",3917,"02/13/2020","Hacking/IT Incident","Email","No"
"2811","Capital Vision Services d/b/a MyEyeDr. (MED Southwest PLLC)","VA","Healthcare Provider",7983,"02/13/2020","Improper Disposal","Paper/Films","No"
"2812","Walmart Inc.","AR","Healthcare Provider",3606,"02/12/2020","Loss","Paper/Films","No"
"2813","SAMA HealthCare Services","AR","Healthcare Provider",7524,"02/12/2020","Improper Disposal","Paper/Films","Yes"
"2814","Lakewood Resource and Referral Center dba Center for Health Education, Medicine and Dentistry","NJ","Healthcare Provider",12414,"02/12/2020","Hacking/IT Incident","Network Server","No"
"2815","Relation Insurance, Inc., d/b/a Relation Insurance Services of Georgia","GA","Business Associate",4335,"02/11/2020","Hacking/IT Incident","Email","Yes"
"2816","Mercy Health Physician Partners","MI","Healthcare Provider",2487,"02/10/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2817","VibrantCare Rehabilitation, Inc.","CA","Healthcare Provider",1655,"02/08/2020","Hacking/IT Incident","Email","No"
"2818","Overlake Medical Center & Clinics","WA","Healthcare Provider",109234,"02/07/2020","Hacking/IT Incident","Email","No"
"2819","Shields Health Solutions","MA","Business Associate",39762,"02/07/2020","Hacking/IT Incident","Email","Yes"
"2820","JDC Healthcare Management","TX","Healthcare Provider",45748,"02/07/2020","Hacking/IT Incident","Email","No"
"2821","Lincoln National Life Insurance Company and its affiliate Lincoln Life & Annuity Company of New York","IN","Health Plan",2468,"02/07/2020","Hacking/IT Incident","Email","No"
"2822","Vision Care Specialists, P.C. a part of MyEyeDr. Optometry of Colorado, PC","VA","Healthcare Provider",1070,"02/07/2020","Hacking/IT Incident","Network Server","No"
"2823","Kaiser Health Plan, Southern California","CA","Health Plan",167095,"02/06/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2824","Health Share of Oregon","OR","Health Plan",654362,"02/05/2020","Theft","Laptop","Yes"
"2825","UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan",3335,"02/04/2020","Hacking/IT Incident","Network Server","Yes"
"2826","Arizona Pain and Spine Institute","AZ","Healthcare Provider",530,"02/03/2020","Theft","Laptop","No"
"2827","Iredell-Statesville Schools Board of Eduction","NC","Health Plan",959,"02/03/2020","Hacking/IT Incident","Email","Yes"
"2828","Original Medicare","MD","Health Plan",9965,"01/31/2020","Unauthorized Access/Disclosure","Network Server","No"
"2829","MHMR of Tarrant County","TX","Healthcare Provider",6524,"01/31/2020","Hacking/IT Incident","Email","No"
"2830","Hospital Sisters Health System","IL","Healthcare Provider",16167,"01/31/2020","Hacking/IT Incident","Email","No"
"2831","Lake County Behavioral Health Services","CA","Healthcare Provider",1178,"01/31/2020","Theft","Paper/Films","No"
"2832","Virginia Department of Medical Assistance Services","VA","Health Plan",6120,"01/31/2020","Hacking/IT Incident","Electronic Medical Record","Yes"
"2833","Robert S. Smith MD Inc DBA Boston Scientific Pathology","GA","Healthcare Provider",6940,"01/31/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2834","Jefferson Center for Mental Health","CO","Healthcare Provider",1319,"01/30/2020","Theft","Paper/Films","No"
"2835","Personal Touch Home Care of VA, Inc.","VA","Healthcare Provider",33324,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2836","Personal Touch Home Care of W. VA, Inc.","WV","Healthcare Provider",1169,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2837","Personal Touch Hospice of VA, Inc.","VA","Healthcare Provider",1657,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2838","Personal Touch Home Care of Mass., Inc.","NY","Healthcare Provider",2015,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2839","Personal Touch Home Services of San Antonio, Inc.","TX","Healthcare Provider",5930,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2840","Personal Touch Home-Aides, Inc.","NY","Healthcare Provider",2633,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2841","Personal Touch Home Services of Dallas, Inc.","TX","Healthcare Provider",1700,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2842","Personal Touch Home Care of S.E. Mass., Inc.","NY","Healthcare Provider",2863,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2843","Personal Touch Home Aides Inc.","NY","Healthcare Provider",1890,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2844","Personal Touch Home Care of PA, Inc.","NY","Healthcare Provider",9302,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2845","Personal Touch Home Care of Ohio, Inc.","NY","Healthcare Provider",15808,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2846","Personal Touch Home Care of Greater Portsmouth, Inc.","NY","Healthcare Provider",1957,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2847","Personal Touch Home Aides of Baltimore, Inc.","NY","Healthcare Provider",804,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2848","Personal Touch Home Care of Baltimore, Inc.","NY","Healthcare Provider",9058,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2849","Personal Touch Home Care of KY, Inc.","KY","Healthcare Provider",24013,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2850","Central Kansas Orthopedic Group, LLC","KS","Healthcare Provider",17214,"01/28/2020","Hacking/IT Incident","Network Server","No"
"2851","Personal Touch Home Care of Indiana, Inc.","IN","Healthcare Provider",3593,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2852","Personal Touch Home Aides of New York, Inc.","NY","Healthcare Provider",38693,"01/28/2020","Hacking/IT Incident","Network Server","Yes"
"2853","Iowa Department of Human Services","IA","Health Plan",4501,"01/27/2020","Improper Disposal","Paper/Films","No"
"2854","Beaumont Health","MI","Healthcare Provider",1182,"01/24/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"2855","Cedarbrook Senior Care and Rehabilitation / County of Lehigh","PA","Healthcare Provider",688,"01/24/2020","Unauthorized Access/Disclosure","Email","No"
"2856","Lafayette Regional Rehabilitation Hospital","IN","Healthcare Provider",1360,"01/24/2020","Hacking/IT Incident","Email","No"
"2857","Cook County Health","IL","Healthcare Provider",2713,"01/24/2020","Unauthorized Access/Disclosure","Network Server","No"
"2858","Village Senior Services Corporation d/b/a VillageCareMAX","NY","Health Plan",2645,"01/24/2020","Hacking/IT Incident","Email","No"
"2859","Village Center for Care d/b/a VillageCare Rehabilitative and Nursing Center","NY","Healthcare Provider",674,"01/24/2020","Hacking/IT Incident","Email","No"
"2860","Manchester Ophthalmology, LLC","CT","Healthcare Provider",6846,"01/24/2020","Hacking/IT Incident","Network Server","No"
"2861","REVA, INC.","FL","Healthcare Provider",1000,"01/22/2020","Hacking/IT Incident","Email","No"
"2862","UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan",934,"01/22/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2863","NeurAbilities Healthcare","NJ","Healthcare Provider",11747,"01/21/2020","Hacking/IT Incident","Email","No"
"2864","Solara Medical Supplies, LLC","CA","Healthcare Provider",1531,"01/17/2020","Unauthorized Access/Disclosure","Paper/Films","No"
"2865","Fondren Orthopedic Group L.L.P.","TX","Healthcare Provider",30049,"01/17/2020","Hacking/IT Incident","Network Server","No"
"2866","Roper St. Francis Healthcare","SC","Healthcare Provider",1634,"01/17/2020","Improper Disposal","Paper/Films","No"
"2867","Phoenix Children’s Hospital","AZ","Healthcare Provider",1860,"01/14/2020","Hacking/IT Incident","Email","No"
"2868","Children's Hope Alliance","NC","Healthcare Provider",4564,"01/14/2020","Hacking/IT Incident","Email","No"
"2869","PIH Health","CA","Healthcare Provider",199548,"01/10/2020","Hacking/IT Incident","Email","No"
"2870","Spectrum Healthcare Partners","ME","Healthcare Provider",11308,"01/10/2020","Hacking/IT Incident","Email","No"
"2871","InterMed, PA","ME","Healthcare Provider",33000,"01/08/2020","Hacking/IT Incident","Email","No"
"2872","CAH Holdings, Inc.","AL","Business Associate",1158,"01/06/2020","Hacking/IT Incident","Email","Yes"
"2873","RCM Enterprise Services, Inc.","FL","Business Associate",5965,"01/06/2020","Unauthorized Access/Disclosure","Paper/Films","Yes"
"2874","Native American Rehabilitation Association of the Northwest, Inc.","OR","Healthcare Provider",25187,"01/03/2020","Hacking/IT Incident","Email","No"
"2875","Douglas County Hospital dba Alomere Health","MN","Healthcare Provider",49859,"01/03/2020","Hacking/IT Incident","Email","No"
"2876","Lawrenceville Internal Medicine Associates","NJ","Healthcare Provider",8031,"01/02/2020","Unauthorized Access/Disclosure","Email","No"
"2877","SEES Group, LLC","TN","Healthcare Provider",13000,"12/31/2019","Hacking/IT Incident","Email","No"
"2878","Life Line Screening of America, Ltd.","TX","Healthcare Provider",2802,"12/30/2019","Hacking/IT Incident","Network Server","Yes"
"2879","The Center for Facial Restoration, Inc.","FL","Healthcare Provider",3600,"12/26/2019","Hacking/IT Incident","Network Server","No"
